Video ID,Video Recording Date,Video Recording Altitude,Video Recording Latitude,Video Recording Longitude
6csM8SKGS_s,,0,0,0
vK47AfJyKiU,,0,0,0
631xwJpLndM,,0,0,0
upQlFstt7SU,,0,0,0
fJCESy0giA4,,0,0,0
MuHI0890PIM,,0,0,0
vGzQ4f0idhM,,0,0,0
Tlwc8YwScqc,,0,0,0
rjDe_WIUEUk,,0,0,0
oTBMyFGrsKk,,0,0,0
thjo3k64vf4,,0,0,0
sn0oEBISz3M,,0,0,0
tiyRZfOZAow,,0,0,0
iOLU2Pn-Pi8,,0,0,0
gQqlrfVRnzQ,,0,0,0
i3fVeedFcjg,,0,0,0
dhXNPVg7lP0,,0,0,0
ZaggU1mNcbw,,0,0,0
hVNhH-yeop4,,0,0,0
HfOGuovn4tQ,,0,0,0
0BOLm6eibZI,,0,0,0
iARb81Z4yoU,,0,0,0
xFNH57HCgag,,0,0,0
V4PkF1sYw58,,0,0,0
8b-eDlc5W5c,,0,0,0
4j0EoIlApLA,,0,0,0
yhTDVLKjnQM,,0,0,0
CNtv-C4OWng,,0,0,0
KvatxffjO08,,0,0,0
Zm6VS-SyUVY,,0,0,0
2PVkAhpCHmg,,0,0,0
aFiUk8scpGU,,0,0,0
kytGxJC0zAU,,0,0,0
INy0Lh3STOs,,0,0,0
9m31DYeauI4,,0,0,0
56dKmmkbZNQ,,0,0,0
5y5nDFks-8o,,0,0,0
jSS-BNwph4c,,0,0,0
C8WjqEPnItk,,0,0,0
PINkcSUQluo,,0,0,0
8njdC8IB2bk,,0,0,0
FpsxCLBrpxM,,0,0,0
ehdkyZaugMQ,,0,0,0
b5KjanCf9D0,,0,0,0
GM-ggpe6T60,,0,0,0
mCUXYL5sJeQ,,0,0,0
CSbPX0-JgTU,,0,0,0
qm7p8L2GEFk,,0,0,0
7M-X1bbqtD4,,0,0,0
V93nqAXXO1s,,0,0,0
MflnZ29qv_g,,0,0,0
gZhiQFtRIPQ,,0,0,0
ii6ZbW6EEt4,,0,0,0
FYe7e_X3SKU,,0,0,0
n6gUmMEHlmg,,0,0,0
9f5O45wI_9k,,0,0,0
 -kA8wMd89Zw,,0,0,0
AwNsPfygtBE,,0,0,0
aUltPULqkJ4,,0,0,0
c8t5BI75Src,,0,0,0
hqoBapnsTRg,,0,0,0
oYrmY16DqZk,,0,0,0
xSbe7_B9JyI,,0,0,0
sh1c2riO_tM,,0,0,0
hRLjmfTOZfw,,0,0,0
sr6kPL8wPlc,,0,0,0
cM39XIWNn-s,,0,0,0
uDl--KgdOJo,,0,0,0
ww0w1aIY4FQ,,0,0,0
ItO_7IN3aTw,,0,0,0
PAkBOHq3H-Y,,0,0,0
ZhpjoCAAK4w,,0,0,0
zXW4O2cVIoc,,0,0,0
OSLyI-C_fwc,,0,0,0
oE_4V8A93Pk,,0,0,0
cAXkNrqD2Cg,,0,0,0
UVHdj3EWhdk,,0,0,0
Ru8mFOlouZ8,,0,0,0
NoOwxSxp_Ro,,0,0,0
uIst6pxprdg,,0,0,0
we4bplKv-qk,,0,0,0
bCO52IQ-sS0,,0,0,0
n3b1DIz_XKE,,0,0,0
bfYU1d413ko,,0,0,0
idsAVKbrZlo,,0,0,0
e9Xt81P5e3w,,0,0,0
T5ChpzOJk_4,,0,0,0
sZjYG0KTEYQ,,0,0,0
ZDS_O-OBeRo,,0,0,0
eA-uU8rMd5k,,0,0,0
mbteiJxL8gs,,0,0,0
U9fDNpUgcbo,,0,0,0
JSp5_pB3GJs,,0,0,0
WypnSs816-A,,0,0,0
669ybCKxJpM,,0,0,0
aYvmP52UI1I,,0,0,0
VgN_E1fwhJI,,0,0,0
6e6UwvVSbLw,,0,0,0
Sz9jl0hLlo4,,0,0,0
sXecyEdIB_k,,0,0,0
84Rl8kfWBnU,,0,0,0
T2ih3RIVQpw,,0,0,0
wZYi3sCK7ZA,,0,0,0
fW6NeGlUJII,,0,0,0
wKGWs-us4Ko,,0,0,0
B-dIAz2mWvM,,0,0,0
X4NYfdfSvIk,,0,0,0
Wnr3pnTiwLw,,0,0,0
lb94IxZTon4,,0,0,0
_AutoazImq8,,0,0,0
5U9jg94IgQQ,,0,0,0
vz0r4YXJU88,,0,0,0
OLerA2lBK-Y,,0,0,0
X3imRwHF-1Y,,0,0,0
9gePdFgaM-I,,0,0,0
0bobmSU4YI0,,0,0,0
uReFlo3B9E4,,0,0,0
m9Jjx5Z4cb4,,0,0,0
HliskaeTP9M,,0,0,0
pACQFgC1rzw,,0,0,0
yeh0shL5PQ4,,0,0,0
BOTk3AJgD8s,,0,0,0
rudT6AV2fh8,,0,0,0
 -GODb5GNv1g,,0,0,0
iuGWdAWJdRM,,0,0,0
yAaDF7wsYhk,,0,0,0
oR2QHYFfZx4,,0,0,0
X0853GuMP84,,0,0,0
Lfbxtfhc0-k,,0,0,0
M1ZFzl4Ni1g,,0,0,0
_s6xDcr7I3s,,0,0,0
fr8fUxXtnK4,,0,0,0
YGCIcqcpLWw,,0,0,0
cwG9IC3i-sQ,,0,0,0
u2E2WKqzbYo,,0,0,0
W0dP2HMWcso,,0,0,0
yJ-ZpixBwe4,,0,0,0
Y0ef96Aoims,2021-05-18T00:00:00+00:00,0,0,0
6_CTzCoSKn4,,0,0,0
lAHPl0o9CZ8,,0,0,0
mstj-rNHGMc,,0,0,0
t6yxvXYST14,,0,0,0
xqIrUFvkqXo,,0,0,0
zT-zeQkBMDU,,0,0,0
g6NSd7QcyYw,,0,0,0
2wEmIIjGKv4,,0,0,0
HhJUeh8DUwk,,0,0,0
A1yZdirxm4w,,0,0,0
6wSdVQylotM,,0,0,0
js5vXqrGW9U,,0,0,0
RDQ6pUPmAmU,,0,0,0
 -_J7kLDWpX0,,0,0,0
Ewdk5kaRCyA,,0,0,0
o86MyFCpmOs,,0,0,0
AY0u4_8G3Do,,0,0,0
9br2VfenUl4,,0,0,0
YZ6metwuH-w,,0,0,0
GPf8_2Ia9CY,,0,0,0
hrm0BHIRbaI,,0,0,0
_LJv7B4Xe7E,,0,0,0
HavMefcdRLA,,0,0,0
ggwQUuGA8GA,,0,0,0
mBHPboJKkcM,,0,0,0
zsB4MqSF-yA,,0,0,0
rUGpJfMcL0I,,0,0,0
Bqkgg0hPMk4,,0,0,0
ystTrxSHBbg,,0,0,0
7Id83r6KnUI,,0,0,0
