Video ID,Video Recording Altitude,Video Recording Latitude,Video Recording Longitude
Le9YjEVOa80,0,0,0
NfcEL1mtHI4,0,0,0
5aGeJwhSYHE,0,0,0
cCRmFSTjVME,0,0,0
GY3BrW336LU,0,0,0
9AeLVKhcu44,0,0,0
MQXcRmS5_6M,0,0,0
yrwhPWpDZm0,0,0,0
XRyQOFEaT6Y,0,0,0
5pB7pxKwgis,0,0,0
wTVOGvJ20SY,0,0,0
1JtrWP2alVo,0,0,0
Mfdw-7rhVnE,0,0,0
KhUCrejgjH8,0,0,0
crc00oGpnR0,0,0,0
xgOjSkCdmpk,0,0,0
ZN4e3TsdVBE,0,0,0
ca1xK4VN2bo,0,0,0
EFOkMECKYoA,0,0,0
O9cOOUM5YwE,0,0,0
CgLzq9ko0_8,0,0,0
bsNGO4xlqjI,0,0,0
i4dmbNcfxSg,0,0,0
5ywbfHsb67M,0,0,0
BHChP0FQzOo,0,0,0
6hfmq5WBtbc,0,0,0
7dqNUgxDz9I,0,0,0
7Afm-MXECyQ,0,0,0
mePvD1CWljI,0,0,0
2sNRTvJcMGo,0,0,0
d2fZjhsvZjs,0,0,0
B1EIuhDgQHY,0,0,0
lLqN_KRuY2I,0,0,0
GwL3XbjB41M,0,0,0
TsJ8GeEnKh4,0,0,0
seFJ2AdVPAA,0,0,0
LsH8TIHeJ6U,0,0,0
nfF4Sy7s9P4,0,0,0
4caicJPLbnU,0,0,0
IO0EqXGbMNA,0,0,0
KVcBnarWJng,0,0,0
Df5dBkdxQNo,0,0,0
hWMkfEKtw6s,0,0,0
xNIeoKb4PY4,0,0,0
y1K_wzIjYbw,0,0,0
iqLrNlw0-pY,0,0,0
_LslQTEpwmQ,0,0,0
UCv58CrJk0o,0,0,0
hg5gRnFHDIE,0,0,0
tGdOT_gROVo,0,0,0
g1eWobRZEOI,0,0,0
71wCMfVyL80,0,0,0
uS-f97gpyEY,0,0,0
dvahdEKYKu4,0,0,0
LA7O_3bzIMI,0,0,0
bnt_tDvpdL8,0,0,0
m5Jtk6dR9-E,0,0,0
jWvdMWLRCOo,0,0,0
hVf7JihheXo,0,0,0
fznU3M3BAUE,0,0,0
jy87XX248iQ,0,0,0
ptDfDsZ-F20,0,0,0
U2uoSKje8Wc,0,0,0
fEuqk8bIe5g,0,0,0
 -P7lpYp6AM0,0,0,0
Qjv8rVMbRMo,0,0,0
ip04423mf1U,0,0,0
ie9bRFXqRkk,0,0,0
VecqFL5jtVo,0,0,0
RwFw0uAf4KU,0,0,0
Nod13hAJ1aU,0,0,0
2GpXZpgKmvg,0,0,0
3IfJqZUdlC4,0,0,0
7HArx1lSsNk,0,0,0
RC8bpedgcHI,0,0,0
