Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Description Text Segments 10,Video Description Text Segments 11,Video Description Text Segments 12,Video Description Text Segments 13,Video Description Text Segments 14,Video Description Text Segments 15,Video Description Text Segments 16,Video Description Text Segments 17,Video Description Text Segments 18,Video Description Text Segments 19,Video Description Text Segments 20,Video Description Text Segments 21,Video Description Text Segments 22,Video Description Text Segments 23,Video Description Text Segments 24,Video Description Text Segments 25,Video Description Text Segments 26,Video Description Text Segments 27,Video Description Text Segments 28,Video Description Text Segments 29,Video Description Text Segments 30,Video Description Text Segments 31,Video Description Text Segments 32,Video Description Text Segments 33,Video Description Text Segments 34,Video Description Text Segments 35,Video Description Text Segments 36,Video Description Text Segments 37,Video Description Text Segments 38,Video Description Text Segments 39,Video Description Text Segments 40,Video Description Text Segments 41,Video Description Text Segments 42,Video Title Text Segments 1,Video Text Update Timestamp
6csM8SKGS_s,2020-11-23T15:49:22.213441+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Seeker, The searcher, Narrative Collapse, Drop your nets, Christ Mind, One Mind",2023-08-11T06:53:52.952223+00:00
upQlFstt7SU,2020-11-24T11:28:32.379372+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meditation: Become Forgiveness, Christ Consciousness, Cosmic Consciousness, True Self, False-Self",2023-08-11T03:45:40.418742+00:00
fJCESy0giA4,2020-11-24T13:43:29.01256+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eckhart Tolle, The Power of Now, Ego, Pain Body, Awakening, Twelve Steps, Enlightenment, Forgiveness",2023-08-11T03:40:54.12202+00:00
MuHI0890PIM,2020-11-25T13:46:58.661134+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oneness Meditation, Holy Communion, Forgiveness, Highest Calling",2023-08-10T22:26:15.557902+00:00
vGzQ4f0idhM,2020-11-25T15:03:26.736885+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulnerability, Open Heart Meditation, Affirmations, Who Am I?, Honesty, The Observer, Forgiveness",2023-08-11T04:25:41.924917+00:00
Tlwc8YwScqc,2020-11-25T16:37:49.598508+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Light Language & Creative Process,2023-08-11T02:38:02.394046+00:00
rjDe_WIUEUk,2020-11-25T18:01:29.583009+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Create In Me A Clean Heart, One Mind, Social Media, Holy Spirit, One Problem, Am I Alone?, Unity",2023-08-10T09:33:05.396379+00:00
thjo3k64vf4,2020-11-26T15:02:24.365532+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spiral Dynamics, Evolution of Consciousness, Drop Your Nets, Integral Life Practice, Ken Wilber",2023-08-09T18:56:51.815601+00:00
sn0oEBISz3M,2020-11-26T19:03:04.317444+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"How to Love Your Enemy, Theosis Meditation, Christ Consciousness, Cosmic Consciousness, Ego",2023-08-10T21:53:23.607492+00:00
tiyRZfOZAow,2020-11-26T19:21:16.647962+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Power of Now, Eckhart Tolle, Chop Wood Carry Water, Peace and Park Benches",2023-08-10T12:34:34.993517+00:00
iOLU2Pn-Pi8,2020-11-27T15:06:49.485756+00:00,"I could have 
at any moment
in my life
released my self from the suffering
that I had created

no one ever did anything to me
I chose this
I chose to have this experience
I chose to walk this path
I chose to see through this illusion of suffering
I chose this awakening process

I am responsible
for everything I see
I am free to forgive
everything I see

It seems like I'm looking out
It seems like I'm seeing ""others""
But those ""others"" are not separate from me

Any injury that I perceive
That has come from the outside
Is an injury that I am free to forgive
And in so doing
I free myself

I am one with the ""other""
There is no ""i""
There is no ""you""
we have chosen
in our suffering 
to see ourselves as separate
and it is this separateness...
this illusion of separateness
that we choose to see through today

suffering has no substance
it is not solid

neurosis
has no 
function
neurosis can be seen through

the idea that we are lacking something...
that's suffering

the idea.... 
thatI'm not enough

the idea that
I must add something to myself
this is all suffering

all unhappiness
is meaningless
we assign meaning 
to our unhappiness
we assign meaning
to those we see as separate from ourselves

and when we choose suffering
that is exactly what we get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I Chose This, I Am Responsible, I Am Not A Victim of the World I See",2023-08-09T19:12:54.360936+00:00
gQqlrfVRnzQ,2020-12-10T00:07:53.691209+00:00,"Do not be afraid of the silence
Everything that arises
from the silence
is your path to awakening

there are no distractions from
your meditation
everything that arises
is the path to the One

train your mind
allow yourself to receive instruction
from within yourself
allow yourself to become
the strength
that takes joy in the training of your mind

see past the illusion of suffering

you are very capable
you are not obligated to suffer
happiness is your birthright
joy is who you are

forgiveness is the way
do not be afraid of the silence
do not be afraid of the distractions
allow your awareness of the distraction
to bring you back
time and time again

do not be afraid of the silence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-10T02:45:32.524105+00:00
i3fVeedFcjg,2020-11-27T15:46:58.151993+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How to Save the World. Afraid of Silence? Threatened? Who Saves The World?,2023-08-10T13:04:21.875622+00:00
dhXNPVg7lP0,2020-11-27T16:34:42.178966+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corporation Meditation, Starving the Beast, Think Your Own Thoughts, Christ Mind, Cosmic Mind",2023-08-11T12:18:10.865537+00:00
ZaggU1mNcbw,2020-11-27T17:06:03.852999+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We've turned against one another, Reclaim Your Power, Forgive Your Enemy, Christ Consciousness",2023-08-11T16:03:56.152058+00:00
hVNhH-yeop4,2020-11-28T18:18:32.425681+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authenticity #1,2023-08-10T14:35:17.659005+00:00
HfOGuovn4tQ,2020-11-28T17:56:03.600108+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Heart of David: Authenticity #2,2023-08-10T00:55:22.900701+00:00
iARb81Z4yoU,2020-11-29T13:33:30.429315+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music Meditation: There are no Distractions,2023-08-10T19:49:26.657075+00:00
xFNH57HCgag,2020-11-29T14:06:58.293562+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Most Stable of Selves,2023-08-10T23:23:53.857755+00:00
4j0EoIlApLA,2020-11-29T14:54:02.373505+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wagon Wheel (Jacob Lee, Ron Shipp, Travis Erwin) Cover song",2023-08-10T10:12:53.636321+00:00
CNtv-C4OWng,2020-11-29T15:43:59.469598+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There is Power in a Union Billy Bragg cover,2023-08-10T13:26:41.646068+00:00
Zm6VS-SyUVY,2020-11-30T11:05:51.424154+00:00,"0:00 - What is rejection?
2:29 - Rejection doesn't exist
4:50 - Choosing forgiveness
6:06 - You have a mind and a will
7:03 - Forgiveness is easy
8:29 - Becoming Love
9:35 - A prayer
10:30 - Embody the One
11:58 - Meditation
14:25 - Coming Home
16:41 - You are not your suffering
18:14 - Universal Experience
19:36 - A prayer
20:37 - Blessings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejection: Allowing Presence to dissolve the false self,2023-08-11T14:38:49.178253+00:00
2PVkAhpCHmg,2020-12-01T04:13:06.713597+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"How to contact your Inner Teacher, Inner guide meditation",2023-08-09T22:59:24.657335+00:00
aFiUk8scpGU,2020-12-01T16:58:24.705975+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACIM lesson 110,2023-08-11T16:17:34.747632+00:00
kytGxJC0zAU,2020-12-01T20:49:46.962926+00:00,"Codependency is a word that we may use to describe what happens when we compromise our true Self in order to be with others. In this podcast I share my personal experience with what it has been like for me as I learn how to maintain my own personal integrity in relationships. I find that as I understand my own boundaries, that I am able to share more Love, and my experiences with the ""other"" deepens. As I take things less personally, the personal experience expands.

0:00 - Introduction
1:05 - What is Codependency?
2:42 - coping mechanisms
4:30 - giving up the steering wheel
5:58 - What do we do about it?
6:42 - My path out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codependent no more (my experience with codependency),2023-08-10T20:23:23.398854+00:00
