Video ID,Video Text Create Timestamp,Video Title Text Segments 1,Video Title Text Segments 2,Video Text Update Timestamp
l0nctXifGKM,2022-03-18T13:26:56.585091+00:00,"March 18, 2022",,2023-08-10T00:35:44.914478+00:00
 -BT-Rs5uP6c,2022-03-18T13:30:30.274059+00:00,Juntos,,2023-08-11T04:01:26.617113+00:00
_aG28HhC0eU,2022-03-18T22:31:47.312817+00:00,a song of healing,,2023-08-10T04:43:54.816753+00:00
iRh-Pe5Tqu4,2022-03-19T13:43:44.319532+00:00,I seen the light in you,,2023-08-11T02:48:46.034941+00:00
_Txxvjs3Zvw,2022-03-20T02:24:30.462499+00:00,Goin' Together (you are not alone),,2023-08-10T20:22:41.426566+00:00
n7LmKFaMRI0,2022-03-21T21:40:52.441+00:00,my brother,,2023-08-10T21:37:33.438669+00:00
JdKcrKKTvYQ,2022-03-21T21:51:12.29111+00:00,"kisses for you, love",,2023-08-10T07:51:48.223428+00:00
7R-PXsF4ZXs,2022-03-21T22:12:01.874548+00:00,good teachers,,2023-08-09T21:39:15.080141+00:00
fFFhWJJO7wg,2022-03-26T20:15:28.323833+00:00,we get to choose love today,,2023-08-11T15:09:43.77672+00:00
5SDL1Q4LpWQ,2022-03-26T21:13:49.195698+00:00,May we choose love,,2023-08-11T16:16:11.174962+00:00
Pd0GKFMZKK0,2022-04-15T00:21:59.626066+00:00,all there ever was,,2023-08-10T17:52:53.058274+00:00
524JP9lB1NQ,2022-05-24T12:05:19.512749+00:00,Repetition: the mother of learning,,2023-08-10T17:07:27.593348+00:00
OKPIoc5UOyg,2022-05-24T12:12:15.224746+00:00,oooh  oooh oooh oooh,,2023-08-10T09:49:40.321947+00:00
3RCaJrzgPkg,2022-05-29T16:37:18.757043+00:00,Master and Commander,,2023-08-11T04:07:11.162578+00:00
JblYoSssKzw,2022-09-21T20:46:45.343389+00:00,The light in you,,2023-08-11T12:29:59.734122+00:00
XQmqCnvxJiY,2023-05-30T02:06:52.060677+00:00,BOG Trio,,2023-08-10T07:28:07.274217+00:00
2qKh4nfu0MY,2022-06-15T23:21:22.015356+00:00,Cruise Control,,2023-08-09T22:01:59.131274+00:00
A-j4fc-zJ1s,2022-06-20T18:00:36.609808+00:00,Milagros,,2023-08-11T05:58:34.033697+00:00
ztq_UQ0QaD0,2022-07-01T14:44:10.642237+00:00,Morning Workout,,2023-08-09T18:50:01.220635+00:00
WC-x5NYjp5o,2022-07-06T22:50:09.471616+00:00,Can’t Stop Me Now —Triple Scoop Music,,2023-08-09T18:26:35.24784+00:00
Es-vC_OO3hg,2022-07-09T22:17:47.146564+00:00,Every Open Door,,2023-08-10T03:45:24.983582+00:00
zNprBRML5Js,2022-07-13T23:20:52.325792+00:00,Next right thing,,2023-08-11T07:10:33.103342+00:00
Wrb2bjAsNLc,2022-07-17T04:26:54.724875+00:00,Nested Truth,,2023-08-11T01:20:21.992732+00:00
d_cgOEimp8Q,2022-07-17T04:27:33.992953+00:00,"July 16, 2022",,2023-08-10T00:38:10.867736+00:00
u79cWhFTyno,2022-07-21T04:01:39.878002+00:00,Kingdom Within,,2023-08-10T12:31:51.887124+00:00
ILH_yIYWbPw,2022-07-25T03:26:07.097782+00:00,One Teacher,,2023-08-11T16:35:20.417385+00:00
C9D4XAYb9nA,2022-08-16T00:46:47.651003+00:00,Stronger back,,2023-08-10T13:23:34.823573+00:00
cHdRaXA4IAU,2022-08-25T23:04:18.268684+00:00,"August 25, 2022",,2023-08-11T03:54:26.893098+00:00
2fE3Kfkk4bw,2022-09-02T13:15:04.767427+00:00,Love Deep,,2023-08-11T04:10:53.9695+00:00
cq7M2tArFfE,2022-09-09T12:28:54.662217+00:00,I love because I was loved first,,2023-08-11T09:10:46.004067+00:00
c2Pyl5_LsKk,2022-09-10T21:55:44.758788+00:00,Alterra Hafer Park,,2023-08-11T13:24:28.971295+00:00
TD855rrXSnk,2022-09-18T16:16:53.137127+00:00,State Fair,,2023-08-10T06:14:07.274708+00:00
2IvjZ9n7lu8,2022-09-21T01:44:27.320253+00:00,Managing Bipolar I,,2023-08-10T10:22:31.550549+00:00
gkdVjC8nDgM,2022-09-23T02:31:18.009795+00:00,Caravan | Ellington | John ,21:18,2023-08-10T14:36:41.25006+00:00
3lf9_CCaxG0,2022-09-24T19:11:06.796277+00:00,Music in the park,,2023-08-10T09:42:03.364191+00:00
9d1J3W21kwY,2022-09-26T12:06:50.248069+00:00,A Night In Tunisia - request by Ivan Silva,,2023-08-10T14:49:20.933079+00:00
ppUzWiZ4FrM,2022-09-29T23:52:26.381384+00:00,Workin’ Man Blues (Part I): L&tEoW,,2023-08-10T18:32:39.374241+00:00
3zXkgn2vvj4,2022-09-30T13:56:02.302246+00:00,"L&tEoW: Genesis of Human Experience, Collaboration",,2023-08-10T14:48:58.740127+00:00
nFA70oNmoAA,2022-10-03T03:50:44.188084+00:00,Our Morning Workout,,2023-08-10T13:49:06.068593+00:00
2eSqohI_1Gk,2022-10-06T10:41:21.179902+00:00,Expression of Worth. What has value?,,2023-08-10T06:10:31.00533+00:00
7AIzPX5hyGg,2022-10-07T10:31:11.530708+00:00,Resolution: A Love Supreme,,2023-08-10T09:54:53.616964+00:00
ZfkhpY25P9Q,2022-10-07T14:39:47.050573+00:00,Our Morning Workout (Guitar Jogging),,2023-08-09T20:54:28.39674+00:00
qpqkapAsk-g,2022-10-08T10:21:42.784145+00:00,Hawk 2,,2023-08-10T20:28:04.254854+00:00
Z_GmyRUD3Pk,2022-10-09T05:58:27.270887+00:00,Interactions with people in the park,,2023-08-11T16:14:57.063691+00:00
FsdsiL-Aerk,2022-10-09T05:59:51.866263+00:00,L&tEoW: Hafer Park,,2023-08-10T14:20:45.900668+00:00
jx039y8PE08,2022-10-09T06:02:12.796276+00:00,Time of Transition,,2023-08-10T17:17:15.096416+00:00
S2KGTfpKLu0,2022-10-09T06:04:17.823143+00:00,Healing Path of Music,,2023-08-11T03:13:45.882789+00:00
LFtQabf2VpE,2022-10-09T10:54:37.104332+00:00,Red Dirt Guitar Pickin’,,2023-08-10T06:51:35.482956+00:00
paIF_U8KiVg,2022-10-09T10:57:40.272043+00:00,Time to Shine!,,2023-08-11T06:13:48.688302+00:00
