Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Title Text Segments 1,Video Title Text Segments 2,Video Text Update Timestamp
Bv4ZwO73AvE,2022-11-11T15:47:31.234836+00:00,,,Hawk Dances on Treeline,,2023-08-11T05:52:11.035859+00:00
S9WYBEVt63M,2022-11-12T02:49:45.913725+00:00,,,Ah Haddda Leetle Sowng,,2023-08-10T18:42:49.398357+00:00
GCCO_agXBIM,2022-11-12T04:04:11.261507+00:00,,,Gratefulness Update,,2023-08-11T10:11:18.992727+00:00
acoNl0UqsF8,2022-11-14T15:15:12.873702+00:00,,,"Cibola National Forest: Water Canyon, Langmuir Lab",,2023-08-10T21:08:20.114119+00:00
giX3isHYSqY,2022-11-16T14:30:19.140195+00:00,,,Support $TravelinTravMusic at CashApp,,2023-08-09T20:40:21.159137+00:00
5dGsFT0OgyY,2022-11-24T09:44:47.717116+00:00,,,Road to Sedona: Down From the Trees,,2023-08-10T18:17:20.610001+00:00
lTcZ1o84S1Y,2022-11-24T15:05:40.11597+00:00,,,If You Have Love For One Another | John ,13:35,2023-08-10T13:22:10.730693+00:00
cey_7O_DBLk,2022-11-25T14:47:57.706941+00:00,,,Lineage of Liberation: Born into Sin,,2023-08-11T05:37:02.041228+00:00
UDOQix7uSGA,2022-11-26T04:06:35.454806+00:00,,,Every Open Door: God’s Jealousy,,2023-08-11T04:34:10.192004+00:00
UUadhGyh_nM,2022-11-27T18:33:06.894839+00:00,,,Dr Dre & Attachment,,2023-08-10T09:07:08.893922+00:00
kCBicmYYWwg,2022-12-01T00:34:08.174707+00:00,,,DDAT Delbert Anderson Live Tonight ENMU CUB,,2023-08-10T09:58:43.516279+00:00
w4AVJZotH2c,2022-12-01T00:34:48.232837+00:00,,,Great Little House Studios: Yoli and John,,2023-08-10T22:30:06.315774+00:00
X_xb5L4aRWk,2022-12-14T11:44:16.043542+00:00,,,New Orleans and Toxic Positivity,,2023-08-11T12:05:10.883855+00:00
jLiFIlJ3ZlA,2022-12-15T04:10:15.956274+00:00,,,Even When Your Body’s Broken,,2023-08-10T21:01:36.784808+00:00
Gp35QjbWc7o,2022-12-15T04:10:46.479154+00:00,,,I Am the True King,,2023-08-11T07:27:38.268145+00:00
ZRACpfjZzkw,2022-12-16T11:05:13.356253+00:00,,,Sonic Tube Meditation,,2023-08-09T20:37:49.049615+00:00
cjjyamH2s5g,2022-12-16T11:36:24.870338+00:00,,,Audience,,2023-08-10T21:10:47.82771+00:00
V2fGuYKwygc,2022-12-17T15:04:45.002537+00:00,"Here is a question that was asked  of me recently: “Do you believe in Jesus?”

It was beyond my capacity to explain to this young man the obtuse nature of that question. And all my attempts to describe the depths that I have discovered in Christ fell on deaf ears.

The question is a coded pledge of allegiance to the status quo. The demand for a positive response to that question is less than love. It is the same inquisition that the Protestants say they despise in catholic history. It is the lynching of the women we called witches. It is the crushing of the indigenous people and the erasing of their languages and cultures. It is the importation of human beings to pick our cotton, the building of a nation on the backs of enslaved humanity.

This is common knowledge now: the enslavement never ended. 

Now what will we do about it?",,Do You Believe In Jesus?,,2023-08-11T15:14:07.298956+00:00
_i0YmbfCK0A,2022-12-19T13:58:34.085876+00:00,"We are all trying to survive in this man-made jungle of commercial materialism. Humans crafted clothing, shelter, and finally the assembly line to increase our comfort. The resulting death-machine demands nothing less than our very souls. 

Returning to Spirit time and time again, we finally understand this: God wants to deliver us from our sick and dying culture. 

Participation in sick culture only leads to continued sickness.
What the doctors are trained to label as pathology in an individual, is actually the increasing symptoms of our ailing species. Big Pharma has no interest in a cure. We are now only suppressing the symptoms of our shared neurosis.

When we resist with hate and anger we only give strength to that which would crush us. We must create alternate culture. Love-Centered Community in all forms is our last form of resistance.",,,,2023-08-10T12:05:26.11152+00:00
a0xhT5TGn48,2022-12-19T22:09:43.683573+00:00,,,Music Lesson: Identification With Form,,2023-08-11T11:52:59.466922+00:00
g5XAhOaP4X4,2022-12-24T01:01:40.912313+00:00,,,Roman Nose State Park,,2023-08-11T04:39:36.957377+00:00
mJuJXWUfeD0,2023-01-02T14:30:40.467016+00:00,,,Chromatic scale,,2023-08-11T13:37:21.247099+00:00
Xfoca0cH2bQ,2023-01-13T14:18:08.025697+00:00,,,When the River Rise,,2023-08-10T08:05:04.298946+00:00
uCaMn9NrbFU,2023-01-15T03:27:15.352373+00:00,,,Mindful Movement & Without Jefferson Parish,,2023-08-10T15:08:58.520012+00:00
S8oCS5PfYQ4,2023-01-20T00:14:39.478043+00:00,,,Developing and Integrating New Technique | Cautionary Tales & Confessions | Deep Self Compassion,,2023-08-10T00:37:57.763898+00:00
0MZsJEV2SiU,2023-01-25T15:03:21.097601+00:00,,,Blackwater Draw Boys,,2023-08-11T04:19:11.857362+00:00
RqushWveO0s,2023-02-02T13:39:54.773294+00:00,,,Purple Rain,,2023-08-09T16:34:25.322464+00:00
bKnj1b3ZuJQ,2023-02-06T12:31:02.215636+00:00,,,"Derrick Shezbie trumpet, Plessy vs Ferguson, New Orleans",,2023-08-11T14:50:41.139835+00:00
M1pSx0Ag-w4,2023-02-10T23:24:33.460166+00:00,,,Finding Relevance in Depth-Tribes,,2023-08-11T03:07:14.171077+00:00
r20s6AQXONM,2023-02-11T18:09:07.866917+00:00,,,Branding And Marketing Culture,,2023-08-10T16:21:52.809593+00:00
a-f-3KL5XpQ,2023-02-20T11:36:48.658897+00:00,,,Yurt by Lyca Mikhael,,2023-08-10T11:23:19.039571+00:00
YTOmKTNsfug,2023-02-21T12:05:24.22329+00:00,,,Be Reborn,,2023-08-11T15:34:14.862345+00:00
WiizWZ3zcI4,2023-03-03T05:06:33.742499+00:00,,,Strength & Compassion! You are Light,,2023-08-11T11:47:21.250216+00:00
jgaQTGaaUJU,2023-03-10T13:56:57.620493+00:00,,,Brothers Helping Brothers,,2023-08-10T04:55:37.089331+00:00
Yikoo7MisVI,2023-03-11T19:30:06.182275+00:00,,,Compositional Process as Healing Modality,,2023-08-10T05:08:59.609797+00:00
j0PdMyJz39A,2023-03-12T02:35:18.812482+00:00,#pain," tolerance,",Highly Sensitive Person Development,,2023-08-09T19:48:21.40877+00:00
1MT8_jNzHTU,2023-03-16T22:40:50.254329+00:00,,,Instruments for Students,,2023-08-11T08:34:33.417222+00:00
0DB0sheskzc,2023-03-18T00:38:18.260135+00:00,,,Love Your Enemies. Forgive Those Who Have Hurt You.,,2023-08-10T04:57:12.696648+00:00
bkyvUvLU2g4,2023-03-18T02:08:10.486545+00:00,,,Generational Healing,,2023-08-09T17:35:57.03347+00:00
dQt3y_rjMdk,2023-03-18T15:52:57.964326+00:00,,,Trans-Rational Identifiers,,2023-08-11T10:16:10.89453+00:00
UmwLl_BB22w,2023-03-18T17:16:01.723675+00:00,,,Hawk,,2023-08-09T23:08:26.997028+00:00
mOJ55W3I_-U,2023-03-18T19:23:15.974562+00:00,,,"Alan Watts, HDT, & Thich Nhat Hanh",,2023-08-10T03:30:42.503261+00:00
xd-znCZR3hI,2023-03-20T05:04:44.444412+00:00,,,True Colors Karaoke,,2023-08-10T12:17:31.581528+00:00
G0LHU_w-eG8,2023-03-27T18:05:59.27884+00:00,,,Seeking Asylum,,2023-08-11T14:00:11.220677+00:00
c1HlaKJgMcE,2023-03-28T03:47:58.809639+00:00,,,Be Still & Know,,2023-08-11T13:07:39.0953+00:00
TbX2xYA8cGk,2023-04-06T15:38:12.470471+00:00,,,Self Hate in the Mirror,,2023-08-10T03:23:02.59392+00:00
dlHO6n547aA,2023-04-08T14:23:27.3608+00:00,,,Beyond the Tidal Pool,,2023-08-10T19:11:05.637376+00:00
ydm7-yItIts,2023-04-09T03:20:34.009417+00:00,,,Guitar Groove,,2023-08-10T12:07:08.979249+00:00
KNwhIoq2kWc,2023-04-09T12:43:24.026012+00:00,,,Minor Pentatonics,,2023-08-09T20:16:15.205712+00:00
