Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Text Update Timestamp
3oiAcn4vHro,2023-05-05T11:00:53.937969+00:00,,,,Musical Family,,,,,,,,,,2023-08-10T20:43:34.25051+00:00
U0enyDWoxu8,2023-05-05T11:18:08.766664+00:00,,,,Forgiving All of This,,,,,,,,,,2023-08-11T05:03:10.542354+00:00
0brDU-e-4so,2023-05-05T22:51:31.274429+00:00,,,,Choosing Therapy ,#healing, ,#transparency, ,#pain, ,#help, ,#hope,2023-08-10T09:20:22.296452+00:00
Ip8YyF9ckCg,2023-05-06T12:24:18.116992+00:00,,,,Chasing your dreams,,,,,,,,,,2023-08-10T07:32:48.765947+00:00
1Tj0ESEE4Ms,2023-05-06T12:32:37.51628+00:00,,,,Answering the Call,,,,,,,,,,2023-08-11T15:14:28.97486+00:00
zLTBiv09F2U,2023-05-06T12:39:09.425779+00:00,,,,Getting over your self,,,,,,,,,,2023-08-10T09:51:50.005141+00:00
PGPwxpNShCY,2023-05-07T12:18:52.365734+00:00,,,,Celebration of Life,,,,,,,,,,2023-08-10T03:21:24.815942+00:00
xyDMXuE19ng,2023-05-08T15:16:00.380009+00:00,,,,BleuMondaze- Hoimaha Coin,,,,,,,,,,2023-08-11T15:22:22.656507+00:00
c-Ft3BkjXk8,2023-05-08T15:17:53.042669+00:00,,,,BleuMondaze - Oklahoma Blues Hall of Fame - Hoimaha Coin - Selby Minner,,,,,,,,,,2023-08-10T07:23:50.443302+00:00
4mhTIm9zOIY,2023-05-09T14:34:59.777146+00:00,,,,Sharpening the Message,,,,,,,,,,2023-08-10T13:12:03.48916+00:00
_xZdJqQUg7o,2023-05-09T18:21:50.30306+00:00,,,,This Land Is Your Land,,,,,,,,,,2023-08-11T09:22:11.3974+00:00
80Nz89aoP7o,2023-05-09T18:50:59.809739+00:00,,,,The one we call Jesus,,,,,,,,,,2023-08-11T12:12:04.015377+00:00
b5iZTAxU-ck,2023-05-11T18:30:16.895506+00:00,,,,Blues History,,,,,,,,,,2023-08-10T14:51:44.754337+00:00
VTinxeUNwGc,2023-05-11T22:15:28.296194+00:00,,,,The Hungry Artist: elevate humanity,,,,,,,,,,2023-08-10T20:39:34.409814+00:00
KIe4YpejkDE,2023-05-15T19:21:17.56131+00:00,,,,Andy Dufresne ,#mentalhealth, ,#freedom,,,,,,,2023-08-10T01:23:36.426829+00:00
w8EHp-wQzBY,2023-05-15T19:24:59.466002+00:00,,,,Change is Gonna Come,,,,,,,,,,2023-08-11T11:29:15.638232+00:00
1ayk73VvJ0k,2023-05-15T20:21:48.326353+00:00,,,,Give It Back,,,,,,,,,,2023-08-10T21:03:12.652112+00:00
qzAuItWHn80,2023-05-17T15:23:06.8263+00:00,,,,Depth Tribes,,,,,,,,,,2023-08-11T03:39:16.501643+00:00
qDrQoVd1vws,2023-05-17T18:15:06.61481+00:00,,,,Homelessness & Mental Health,,,,,,,,,,2023-08-11T06:22:30.93602+00:00
IRdQQvPkj60,2023-05-17T18:45:00.172478+00:00,,,,Broken System,,,,,,,,,,2023-08-10T07:59:39.250273+00:00
6dLSdYQtL8E,2023-05-18T14:16:22.415506+00:00,,,,Love Big Super Strong,,,,,,,,,,2023-08-11T12:35:59.86775+00:00
oUzn25jS_2E,2023-05-21T17:09:33.610628+00:00,,,,Ancient Breath ,#meditation, ,#ancestors, ,#rewilding, ,#connection, ,#mindfulness,2023-08-11T13:10:09.972777+00:00
firQ8kEZzBE,2023-05-23T19:34:18.64407+00:00,,,,Battle Buddies,,,,,,,,,,2023-08-10T03:33:52.28163+00:00
ijSXq-mN-eM,2023-05-23T20:36:22.958236+00:00,,,,Authentic Giving & Receiving,,,,,,,,,,2023-08-11T12:31:19.625733+00:00
LNNtKtHWYag,2023-05-25T19:25:45.111589+00:00,,,,Human Value,,,,,,,,,,2023-08-11T08:07:49.930714+00:00
o57z7OZy4B0,2023-05-28T23:00:09.863933+00:00,,,,Progress! Thank You!,,,,,,,,,,2023-08-11T04:42:38.446378+00:00
LGV_GAU9LNI,2023-05-29T00:05:08.488581+00:00,,,,Caring for others | self-sacrifice,,,,,,,,,,2023-08-10T23:32:27.413747+00:00
s-FHMEKB3JI,2023-06-02T15:57:33.592826+00:00,,,,Sick and Broken As You,,,,,,,,,,2023-08-11T05:49:41.100471+00:00
SfaQy5uT0n8,2023-06-09T22:08:33.495639+00:00,,,,Haunted Artists,,,,,,,,,,2023-08-11T07:11:28.207742+00:00
GOwDzOaH-xU,2023-06-19T18:55:15.506681+00:00,,,,Very Very Strong,,,,,,,,,,2023-06-19T18:55:15.506681+00:00
Ck9RIts7g2E,2023-06-19T19:08:40.920302+00:00,,,,Trauma Talk with Trav,,,,,,,,,,2023-06-19T19:08:40.920302+00:00
kDgoUrfvRlM,2023-06-19T19:21:12.268806+00:00,,,,We Must Find Forgiveness,,,,,,,,,,2023-06-19T19:21:12.268806+00:00
uXRR1U0-osk,2023-06-19T19:23:42.198209+00:00,,,,Forgiveness As An Ally,,,,,,,,,,2023-06-19T19:23:42.198209+00:00
JLNRo9qZkac,2023-06-23T20:31:56.549677+00:00,,,,"It Ain’t Personal, It’s Love",,,,,,,,,,2023-06-23T20:31:56.549677+00:00
ep9PGf0YljI,2023-06-26T16:00:01.754845+00:00,,,,Cruise Control,,,,,,,,,,2023-06-26T16:00:01.754845+00:00
A_w7CWq3mMQ,2023-07-12T17:02:48.045184+00:00,,,,Creative Nature: Matthew McUne,,,,,,,,,,2023-07-12T17:02:48.045184+00:00
fKbOPxiOWBI,2023-07-29T12:38:48.053165+00:00,,,,Creative Nature: Initiation Ceremonies | Matthew McUne,,,,,,,,,,2023-07-29T12:41:15.787986+00:00
ZvCUPTZhQak,2023-08-04T04:18:37.281612+00:00,,,,"Creative Nature: Anna Gonzales, Vera Rubin, Claude Shannon, Zac Lee, Theseus",,,,,,,,,,2023-08-04T04:21:07.474893+00:00
WcYlpTVMl4M,2023-08-04T18:15:55.850199+00:00,,,,"The Moth, The Mountain, & The Middle-Aged-Man: Serpents and Stones",,,,,,,,,,2023-08-04T18:16:11.870567+00:00
dDjVWs2Cexw,2023-08-09T10:46:28.053597+00:00,,,,MM&MAM: Patrimony,,,,,,,,,,2023-08-09T10:46:28.053597+00:00
