Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Description Text Segments 10,Video Description Text Segments 11,Video Description Text Segments 12,Video Description Text Segments 13,Video Description Text Segments 14,Video Description Text Segments 15,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Text Update Timestamp
NgvEA0o_6x4,2024-01-01T20:51:41.910726+00:00,,,,,,,,,,,,,,,,"Peace On Earth: Woody Guthrie, Conservative & Liberal Education",,,,,,,,2024-01-01T20:51:41.910726+00:00
LZyq4XfXnaE,2024-01-01T22:32:10.067244+00:00,,,,,,,,,,,,,,,,This Land is Your Land,,,,,,,,2024-01-01T22:32:10.067244+00:00
d59Gzdmor88,2024-01-06T02:41:45.537813+00:00,,,,,,,,,,,,,,,,"Jesus Subversive Educator, Gandhi, Malcolm X, Abrahamic Religions, Mjolnir, Empire Christianity",,,,,,,,2024-01-06T02:41:45.537813+00:00
J6hqh79bZ2g,2024-01-02T22:42:14.569009+00:00,,,,,,,,,,,,,,,,Quantum Computing,,,,,,,,2024-01-02T22:42:14.569009+00:00
OWYw1pVeszg,2024-01-02T22:42:49.443516+00:00,,,,,,,,,,,,,,,,Sonic Tube,,,,,,,,2024-01-02T22:42:49.443516+00:00
TeH1RF4WeUo,2024-01-02T22:43:43.125995+00:00,,,,,,,,,,,,,,,,Myself in You,,,,,,,,2024-01-02T22:43:43.125995+00:00
Xn5x8BIIaSA,2024-01-02T22:44:40.980327+00:00,,,,,,,,,,,,,,,,Patrimony,,,,,,,,2024-01-02T22:44:40.980327+00:00
dOjxXJOgEr8,2024-01-02T22:46:49.249714+00:00,,,,,,,,,,,,,,,,Lydian #4 Troubling Tritones,,,,,,,,2024-01-02T22:46:49.249714+00:00
KF_UEBVLfRw,2024-01-02T22:47:59.758541+00:00,,,,,,,,,,,,,,,,Rich Man Came to Jesus,,,,,,,,2024-01-02T22:47:59.758541+00:00
zpLge5my3FA,2024-01-02T22:49:50.266216+00:00,,,,,,,,,,,,,,,,Empire Christianity,,,,,,,,2024-01-02T22:49:50.266216+00:00
FmTNnEWea4M,2024-01-02T22:51:05.451355+00:00,,,,,,,,,,,,,,,,Christ: Subversive Educator,,,,,,,,2024-01-02T22:51:05.451355+00:00
qcqb0NVGtbU,2024-01-02T22:52:13.836549+00:00,,,,,,,,,,,,,,,,Civil Disobedience Christ Indwelling,,,,,,,,2024-01-02T22:52:13.836549+00:00
rrLEMhVQD-o,2024-01-02T22:54:26.79479+00:00,,,,,,,,,,,,,,,,Freedom from Genetic Bondage,,,,,,,,2024-01-02T22:54:26.79479+00:00
QVQjpT8ElVo,2024-01-02T22:55:34.865445+00:00,,,,,,,,,,,,,,,,Hawk Spirit,,,,,,,,2024-01-02T22:55:34.865445+00:00
do1FAEpeSoY,2024-01-02T22:56:27.634854+00:00,,,,,,,,,,,,,,,,"60’s sit-ins, 80’s shame",,,,,,,,2024-01-02T22:56:27.634854+00:00
53ejoIvWBVc,2024-01-02T22:57:20.124457+00:00,,,,,,,,,,,,,,,,William Blake Tyger,,,,,,,,2024-01-02T22:57:20.124457+00:00
w6AGk4au2S4,2024-01-02T22:58:12.85206+00:00,,,,,,,,,,,,,,,,Shamebusters,,,,,,,,2024-01-02T22:58:12.85206+00:00
ctPU5_zYruw,2024-01-02T22:59:51.571304+00:00,,,,,,,,,,,,,,,,Come Home,,,,,,,,2024-01-02T22:59:51.571304+00:00
