Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
Le9YjEVOa80,2024-05-01T16:24:02.4844+00:00,,Inside This Tree,2024-05-01T16:24:02.4844+00:00
GY3BrW336LU,2024-05-01T18:51:59.828345+00:00,,Are You Experienced?,2024-05-01T18:51:59.828345+00:00
yrwhPWpDZm0,2024-05-02T14:57:35.563094+00:00,,Ancestral Gratitude: Elizabeth Cotten,2024-05-02T14:57:35.563094+00:00
5pB7pxKwgis,2024-05-02T17:46:01.977331+00:00,,Man Vs Bear,2024-05-02T17:46:01.977331+00:00
wTVOGvJ20SY,2024-05-03T11:46:28.311651+00:00,,If Then What?,2024-05-03T11:46:28.311651+00:00
1JtrWP2alVo,2024-05-04T16:33:04.2653+00:00,,Metaphysical Therapist?,2024-05-04T16:33:04.2653+00:00
ca1xK4VN2bo,2024-05-07T18:01:44.077965+00:00,,That’s what gets results,2024-05-07T18:01:44.077965+00:00
i4dmbNcfxSg,2024-05-09T21:25:21.482003+00:00,,A Boy Named Eli,2024-05-09T21:25:21.482003+00:00
6hfmq5WBtbc,2024-05-10T13:05:31.450107+00:00,,WorthFightingFor,2024-05-10T13:05:31.450107+00:00
7dqNUgxDz9I,2024-05-10T14:03:07.126314+00:00,,Writing A Musical,2024-05-10T14:03:07.126314+00:00
7Afm-MXECyQ,2024-05-10T14:43:32.270211+00:00,,The Making of A Musical,2024-05-10T14:43:32.270211+00:00
mePvD1CWljI,2024-05-14T13:16:18.124766+00:00,,Mutual Reverence & For the Record,2024-05-14T13:16:18.124766+00:00
2sNRTvJcMGo,2024-05-11T02:04:25.765811+00:00,,Gitar Pickin’,2024-05-11T02:04:25.765811+00:00
d2fZjhsvZjs,2024-05-11T02:27:05.703898+00:00,,Get Back Up!,2024-05-11T02:27:05.703898+00:00
B1EIuhDgQHY,2024-05-11T02:33:40.461294+00:00,,Jazz Standards,2024-05-11T02:33:40.461294+00:00
TsJ8GeEnKh4,2024-05-11T15:07:10.988038+00:00,,Love Never Fails,2024-05-11T15:07:10.988038+00:00
seFJ2AdVPAA,2024-05-11T15:54:19.595754+00:00,,Simple Guitar,2024-05-11T15:54:19.595754+00:00
nfF4Sy7s9P4,2024-05-11T19:40:12.15424+00:00,,FingerPicking ii V7 i,2024-05-11T22:49:40.450461+00:00
IO0EqXGbMNA,2024-05-11T22:37:18.479761+00:00,,TravelinTrav,2024-05-11T22:37:18.479761+00:00
KVcBnarWJng,2024-05-11T22:48:36.007498+00:00,,EmotionalMusic,2024-05-11T22:48:36.007498+00:00
hWMkfEKtw6s,2024-05-12T02:34:57.57251+00:00,,Dorian | Cool Minor | Raised 6 | min Maj7,2024-05-12T02:34:57.57251+00:00
xNIeoKb4PY4,2024-05-14T23:35:03.514812+00:00,,,2024-05-14T23:35:03.514812+00:00
