Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Description Text Segments 10,Video Description Text Segments 11,Video Description Text Segments 12,Video Description Text Segments 13,Video Description Text Segments 14,Video Description Text Segments 15,Video Description Text Segments 16,Video Description Text Segments 17,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Text Update Timestamp
RRhe6NGsI0A,2024-10-16T18:31:07.252334+00:00,,,,,,,,,,,,,,,,,,Christ Testimony,,,,,,2024-10-16T18:31:07.252334+00:00
WYRpX6IuN3A,2024-10-16T18:32:55.464986+00:00,,,,,,,,,,,,,,,,,,You Are Welcome,,,,,,2024-10-16T18:32:55.464986+00:00
_uDOnitfpLM,2024-10-16T18:34:12.167425+00:00,,,,,,,,,,,,,,,,,,Come One Come All,,,,,,2024-10-16T18:34:12.167425+00:00
GUOfPWI1cic,2024-10-16T18:35:58.94714+00:00,,,,,,,,,,,,,,,,,,Come One Come All,,,,,,2024-10-16T18:35:58.94714+00:00
4HcQPdpxLTY,2024-10-16T18:37:24.092306+00:00,,,,,,,,,,,,,,,,,,Center of Our Love,,,,,,2024-10-16T18:37:24.092306+00:00
ozh_025fKUE,2024-10-17T17:33:58.491689+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-17T17:33:58.491689+00:00
p6_e62wqWrE,2024-10-17T17:36:49.819321+00:00,,,,,,,,,,,,,,,,,,Slow Moving River on the Banks of October,,,,,,2024-11-04T23:02:57.749561+00:00
-75yDRAWofw,2024-10-17T17:37:09.217927+00:00,,,,,,,,,,,,,,,,,,Pray For The Children,,,,,,2024-10-17T17:37:09.217927+00:00
ZnoSy3C7730,2024-10-17T17:45:20.103558+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-17T17:45:20.103558+00:00
M4y6yuCtOE8,2024-10-17T17:47:03.740886+00:00,,,,,,,,,,,,,,,,,,Everything or Nothing,,,,,,2024-10-17T17:47:03.740886+00:00
Y29l2tDkSZI,2024-10-17T17:48:17.597152+00:00,,,,,,,,,,,,,,,,,,A Prayer,,,,,,2024-10-17T17:48:17.597152+00:00
VutXfqKaTiY,2024-10-17T17:51:34.405885+00:00,,,,,,,,,,,,,,,,,,Being Re-Membered in Christ,,,,,,2024-10-17T17:51:34.405885+00:00
ckn_Vjswb0s,2024-10-17T17:53:16.380054+00:00,,,,,,,,,,,,,,,,,,Everything or Nothing,,,,,,2024-10-17T17:53:16.380054+00:00
5lcghqq4BiM,2024-10-17T20:30:06.477111+00:00,,,,,,,,,,,,,,,,,,Forgiveness,,,,,,2024-10-17T20:30:06.477111+00:00
7MXX_7r8Yik,2024-10-18T18:49:45.258011+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-18T18:49:45.258011+00:00
MkWt5QxpU3M,2024-10-18T19:16:29.778884+00:00,,,,,,,,,,,,,,,,,,"Learning From Everybody, Receptive Mind, Beginner’s Mind",,,,,,2024-10-18T19:16:29.778884+00:00
MleqAUK9ZLc,2024-10-19T21:28:46.389789+00:00,,,,,,,,,,,,,,,,,,The WeatherMan,,,,,,2024-10-19T21:28:46.389789+00:00
uX2GeXjma2U,2024-10-19T22:22:20.142317+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-19T22:22:20.142317+00:00
YYlJ17r0ufw,2024-10-19T22:23:45.339937+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-19T22:23:45.339937+00:00
fCqRjo9dlHw,2024-10-19T22:25:19.43553+00:00,,,,,,,,,,,,,,,,,,Together,,,,,,2024-10-19T22:25:19.43553+00:00
_UinJQ0pkJY,2024-10-20T04:11:43.462992+00:00,,,,,,,,,,,,,,,,,,Comedy Gold: Part 1,,,,,,2024-10-21T01:06:34.063715+00:00
dUJ-yIPHLng,2024-10-20T04:12:07.435954+00:00,,,,,,,,,,,,,,,,,,Comedy Gold,,,,,,2024-10-20T04:12:24.44074+00:00
 -OesNeUzVVk,2024-10-20T04:32:34.540572+00:00,,,,,,,,,,,,,,,,,,Challenge Everything,,,,,,2024-10-20T04:32:34.540572+00:00
hPZ0nMI2kBg,2024-10-20T04:35:48.383925+00:00,,,,,,,,,,,,,,,,,,Virtual World,,,,,,2024-10-20T04:35:48.383925+00:00
QGv3NMTD0Yg,2024-10-20T04:37:26.924168+00:00,,,,,,,,,,,,,,,,,,Flat Earth,,,,,,2024-10-20T04:37:26.924168+00:00
QN7HXsSCE2g,2024-10-20T04:42:02.502254+00:00,,,,,,,,,,,,,,,,,,Dad’s Pet Duck Meltdown,,,,,,2024-10-20T04:42:02.502254+00:00
uImcOiZPnbM,2024-10-21T00:59:16.631379+00:00,,,,,,,,,,,,,,,,,,Comedy Gold: Part 2,,,,,,2024-10-21T01:06:02.885077+00:00
-6WvXXRC0n0,2024-10-21T13:30:42.236935+00:00,,,,,,,,,,,,,,,,,,Comedic self-deprecation,,,,,,2024-10-21T13:30:42.236935+00:00
thZ_7Y8y6nQ,2024-10-21T13:33:41.397582+00:00,,,,,,,,,,,,,,,,,,Greater Work,,,,,,2024-10-21T13:33:41.397582+00:00
owdXR3_WYCQ,2024-10-21T13:35:17.013928+00:00,,,,,,,,,,,,,,,,,,Jimi Hendrix Star Spangled Banner,,,,,,2024-10-21T13:35:17.013928+00:00
fqiGI5QMZJU,2024-10-21T13:37:13.548483+00:00,,,,,,,,,,,,,,,,,,27 Club: CIA assasinations?,,,,,,2024-10-21T13:37:13.548483+00:00
kP-2AkL2Wnw,2024-10-21T13:38:59.995456+00:00,,,,,,,,,,,,,,,,,,Zeitgeist: Are We Being Lied To?,,,,,,2024-10-21T13:38:59.995456+00:00
RY1jsBFaWEw,2024-10-21T13:40:00.873492+00:00,,,,,,,,,,,,,,,,,,NameCalling!,,,,,,2024-10-21T13:40:00.873492+00:00
ZELONcD-WC8,2024-10-21T13:41:14.263824+00:00,,,,,,,,,,,,,,,,,,TrueBeliever,,,,,,2024-10-21T13:41:14.263824+00:00
MH3Pmus33jA,2024-10-21T13:42:21.746237+00:00,,,,,,,,,,,,,,,,,,"TheLight, TheTruth, TheWay",,,,,,2024-10-21T13:42:21.746237+00:00
JwAhfgiXxJY,2024-10-21T13:45:01.196986+00:00,,,,,,,,,,,,,,,,,,Receptive Mind,,,,,,2024-10-21T13:45:01.196986+00:00
u-e6Hx1LCTI,2024-10-21T13:47:29.397637+00:00,,,,,,,,,,,,,,,,,,Nixons Resignation My Fault,,,,,,2024-10-21T13:47:29.397637+00:00
xRisnLY4ZB8,2024-10-21T13:49:09.913979+00:00,,,,,,,,,,,,,,,,,,TravelinTravMusic,,,,,,2024-10-21T13:49:09.913979+00:00
cz7OMb2ZGPc,2024-10-21T13:51:05.717684+00:00,,,,,,,,,,,,,,,,,,TravelinStringCamp,,,,,,2024-10-21T13:51:05.717684+00:00
zZRTbIzLiH8,2024-10-21T13:53:55.393931+00:00,,,,,,,,,,,,,,,,,,My Own Worst Critic,,,,,,2024-10-21T13:53:55.393931+00:00
dYLHmxYekEU,2024-10-21T13:56:10.692088+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-21T13:56:10.692088+00:00
n9Y_8on0_gY,2024-10-21T16:03:45.839913+00:00,,,,,,,,,,,,,,,,,,TravelinTrav’s TransRational Playlist,,,,,,2024-10-21T16:03:45.839913+00:00
H-CIXV1Ov-U,2024-10-21T22:53:53.312301+00:00,,,,,,,,,,,,,,,,,,"October 21, 2024",,,,,,2024-10-21T22:53:53.312301+00:00
84c0FVVkcwo,2024-10-21T22:56:08.359037+00:00,,,,,,,,,,,,,,,,,,Rhetoric Man,,,,,,2024-10-21T22:56:08.359037+00:00
IF9Stx6tz4g,2024-10-21T22:57:57.072392+00:00,,,,,,,,,,,,,,,,,,Rhetoric Man,,,,,,2024-10-21T22:57:57.072392+00:00
I7wxLY4CPm0,2024-10-21T22:59:44.070626+00:00,,,,,,,,,,,,,,,,,,Nested Christ Truth,,,,,,2024-10-21T22:59:44.070626+00:00
5L3AgbcHpuU,2024-10-21T23:02:09.392291+00:00,,,,,,,,,,,,,,,,,,Harnessing Rhetoric,,,,,,2024-10-21T23:02:09.392291+00:00
qGeCjoW63hI,2024-10-22T14:20:10.066652+00:00,,,,,,,,,,,,,,,,,,Tiny Gitar Man,,,,,,2024-10-22T14:20:10.066652+00:00
t6vv8Mfgdlg,2024-10-22T14:31:44.784939+00:00,,,,,,,,,,,,,,,,,,TinyGitarMan,,,,,,2024-10-22T14:31:44.784939+00:00
ZP3EhihBa3s,2024-10-22T19:36:55.038358+00:00,,,,,,,,,,,,,,,,,,TravelinTrav: Tiny Gitar Man,,,,,,2024-10-22T19:36:55.038358+00:00
PXv9l0lDPKk,2024-10-22T19:37:44.722081+00:00,,,,,,,,,,,,,,,,,,The White Man Who Explored Critical Race Theory and Feminism,,,,,,2024-10-22T19:37:44.722081+00:00
4mBwoeybrmg,2024-10-22T19:39:19.902375+00:00,,,,,,,,,,,,,,,,,,I’m the Son of God,,,,,,2024-10-22T19:39:19.902375+00:00
AwlYRJXG5Ow,2024-10-22T19:41:13.124981+00:00,,,,,,,,,,,,,,,,,,I Have Servants,,,,,,2024-10-22T19:41:13.124981+00:00
zDUbEJAs-_w,2024-10-22T19:43:23.96468+00:00,,,,,,,,,,,,,,,,,,White Man Privilege,,,,,,2024-10-22T19:43:23.96468+00:00
Qbj7orWZTAI,2024-10-22T19:46:24.580598+00:00,,,,,,,,,,,,,,,,,,Abusive Relationship With G-d part 1,,,,,,2024-10-22T19:46:24.580598+00:00
ExGxpMgd0Ak,2024-10-22T19:48:05.974896+00:00,,,,,,,,,,,,,,,,,,Abusiv God Relationship part 2,,,,,,2024-10-22T19:48:05.974896+00:00
Fhb3jO5H3wQ,2024-10-22T19:50:46.454722+00:00,,,,,,,,,,,,,,,,,,Colonizer Colored Skin & Patriarchal Penises,,,,,,2024-10-22T19:50:46.454722+00:00
Lmeslm1LW_I,2024-10-22T19:53:02.796985+00:00,,,,,,,,,,,,,,,,,,The Dirty Patriarch,,,,,,2024-10-22T19:53:02.796985+00:00
bFVkaOcYwEg,2024-10-22T19:55:06.627822+00:00,,,,,,,,,,,,,,,,,,My Personal Peak of Pluralism,,,,,,2024-10-22T19:55:06.627822+00:00
FN0k-LJknR4,2024-10-23T15:22:49.271109+00:00,,,,,,,,,,,,,,,,,,Fearful Symmetry,,,,,,2024-10-23T15:22:49.271109+00:00
723_wtcy4a4,2024-10-23T15:26:25.468072+00:00,,,,,,,,,,,,,,,,,,I know exactly who you are!,,,,,,2024-10-23T15:26:25.468072+00:00
Ln8Sz90MdMo,2024-10-23T18:04:46.150659+00:00,,,,,,,,,,,,,,,,,,Comments from the Peanut Gallery,,,,,,2024-10-23T18:04:46.150659+00:00
7zCfBSFpZlU,2024-10-23T18:59:27.324805+00:00,,,,,,,,,,,,,,,,,,Grafted Into the Vine,,,,,,2024-10-23T18:59:27.324805+00:00
tyhpKj6OTd8,2024-10-23T19:10:46.819174+00:00,,,,,,,,,,,,,,,,,,Grafted Into The Vine,,,,,,2024-10-23T19:10:46.819174+00:00
zUF85khrxmE,2024-10-25T00:08:46.999159+00:00,,,,,,,,,,,,,,,,,,The Vine,,,,,,2024-10-25T00:08:46.999159+00:00
y14P9r7fkOU,2024-10-25T13:38:16.229436+00:00,,,,,,,,,,,,,,,,,,A Woke Communication,,,,,,2024-10-25T13:38:16.229436+00:00
rWmw6guEJrE,2024-10-25T14:04:29.397403+00:00,,,,,,,,,,,,,,,,,,A Woke Communication,,,,,,2024-10-25T14:04:29.397403+00:00
En6wGpWZiT0,2024-10-29T00:36:34.342705+00:00,,,,,,,,,,,,,,,,,,An Open Letter To My Family,,,,,,2024-10-29T00:36:34.342705+00:00
7vXfF1AWnqA,2024-10-29T06:15:21.517274+00:00,,,,,,,,,,,,,,,,,,"Hey, TravelinTrav!",,,,,,2024-10-29T06:15:21.517274+00:00
JSh2ePFo93c,2024-10-29T06:17:20.906341+00:00,,,,,,,,,,,,,,,,,,An Open Letter To My Family,,,,,,2024-10-29T06:17:20.906341+00:00
-9Arzf1JzAw,2024-10-29T06:19:58.105126+00:00,,,,,,,,,,,,,,,,,,Triad of Sharks,,,,,,2024-10-29T06:19:58.105126+00:00
tq4nEW74aD4,2024-10-29T06:21:37.1118+00:00,,,,,,,,,,,,,,,,,,TravelinStringCamp,,,,,,2024-10-29T06:21:37.1118+00:00
4P_H2oompt0,2024-10-29T06:31:50.465112+00:00,,,,,,,,,,,,,,,,,,TravelinTrav,,,,,,2024-10-29T06:31:50.465112+00:00
6aPwksR-GPA,2024-10-29T18:22:46.835374+00:00,,,,,,,,,,,,,,,,,,"L&tEoW: Root Systems, False Teachers, & Clandestine Chemistry Labs",,,,,,2024-10-29T18:22:46.835374+00:00
3YrMlyW5Ez8,2024-10-29T18:24:42.476348+00:00,,,,,,,,,,,,,,,,,,Root Systems,,,,,,2024-10-29T18:24:42.476348+00:00
ZUzKcd4IcFo,2024-10-29T21:47:27.87267+00:00,,,,,,,,,,,,,,,,,,Secret Place of The Most High,,,,,,2024-10-29T21:47:27.87267+00:00
ECv8pQt3RkI,2024-10-29T22:15:47.969431+00:00,,,,,,,,,,,,,,,,,,Secret Place of the Most High,,,,,,2024-10-29T22:15:47.969431+00:00
4fk2locpN2U,2024-10-29T22:18:24.409098+00:00,,,,,,,,,,,,,,,,,,Eulalia,,,,,,2024-10-29T22:18:24.409098+00:00
EDcb999IZSw,2024-10-30T21:16:59.99381+00:00,,,,,,,,,,,,,,,,,,Discovering Common Work,,,,,,2024-10-30T21:16:59.99381+00:00
ZdQ_PWS0AEM,2024-10-30T21:19:31.333723+00:00,,,,,,,,,,,,,,,,,,Hunting & Gathering,,,,,,2024-10-30T21:19:31.333723+00:00
xHq7OTcSaDc,2024-10-30T21:40:03.223837+00:00,,,,,,,,,,,,,,,,,,Self Government & Interpersonal Intelligence,,,,,,2024-10-30T21:40:03.223837+00:00
lX_bttidWEc,2024-10-30T21:54:38.075971+00:00,,,,,,,,,,,,,,,,,,Deeper Look,,,,,,2024-10-30T21:54:38.075971+00:00
uCqHOUArJtg,2024-10-30T21:56:32.501413+00:00,,,,,,,,,,,,,,,,,,Challenging Work,,,,,,2024-10-30T21:56:32.501413+00:00
kdTr-HhcAig,2024-10-30T21:59:29.758376+00:00,,,,,,,,,,,,,,,,,,Spirit Horse,,,,,,2024-10-30T21:59:29.758376+00:00
MeEdev4yJBc,2024-10-30T22:02:01.289168+00:00,,,,,,,,,,,,,,,,,,SpiritHorse!,,,,,,2024-10-30T22:02:01.289168+00:00
ThwTe9ihzms,2024-10-30T22:03:40.610954+00:00,,,,,,,,,,,,,,,,,,Treasure In A Field,,,,,,2024-10-30T22:03:40.610954+00:00
Q8-v3QUyDUs,2024-10-30T22:05:53.943376+00:00,,,,,,,,,,,,,,,,,,Transcending Pronouns,,,,,,2024-10-30T22:05:53.943376+00:00
DeMdgrFZ_oQ,2024-10-30T22:07:38.308564+00:00,,,,,,,,,,,,,,,,,,Desert Initiation,,,,,,2024-10-30T22:07:38.308564+00:00
WXTOnJS0MPc,2024-10-30T22:09:00.782582+00:00,,,,,,,,,,,,,,,,,,Archetypal Storytelling,,,,,,2024-10-30T22:09:00.782582+00:00
7EQJGF6RZFg,2024-10-30T22:11:57.531131+00:00,,,,,,,,,,,,,,,,,,Hunting & Gathering,,,,,,2024-10-30T22:11:57.531131+00:00
Ul7PPQ1hMIQ,2024-10-30T22:13:53.765187+00:00,,,,,,,,,,,,,,,,,,Terminal Narcissist,,,,,,2024-10-30T22:13:53.765187+00:00
PYfOLnQ-abc,2024-10-30T22:16:51.184581+00:00,,,,,,,,,,,,,,,,,,Terminal Narcissist,,,,,,2024-10-30T22:16:51.184581+00:00
gLMs2hSuxN4,2024-10-30T22:18:10.803804+00:00,,,,,,,,,,,,,,,,,,Confession Comedy,,,,,,2024-10-30T22:18:10.803804+00:00
Y4jyTYb2ZF4,2024-10-30T22:20:52.74427+00:00,,,,,,,,,,,,,,,,,,"Liberals, Conservatives, & Storytelling",,,,,,2024-10-30T22:20:52.74427+00:00
yiFta5xDr7o,2024-11-01T14:09:35.989274+00:00,,,,,,,,,,,,,,,,,,Weak Minded Pu@*ies,,,,,,2024-11-01T14:09:35.989274+00:00
uG8rg0Jh8s4,2024-11-01T14:11:26.85203+00:00,,,,,,,,,,,,,,,,,,"Process, Progress, & Weak Minded Pussies",,,,,,2024-11-01T14:11:26.85203+00:00
FEtGwUKehQY,2024-11-01T14:11:34.951681+00:00,,,,,,,,,,,,,,,,,,Beatitudes,,,,,,2024-11-01T14:11:34.951681+00:00
W6X_wQXjTbU,2024-11-01T14:12:15.605827+00:00,,,,,,,,,,,,,,,,,,Good Stuff,,,,,,2024-11-01T14:12:15.605827+00:00
McfIud4_Wus,2024-11-05T15:46:00.3866+00:00,,,,,,,,,,,,,,,,,,Reality Obscures,,,,,,2024-11-05T15:46:00.3866+00:00
QtCI-4BpHKU,2024-11-05T16:47:29.71482+00:00,,,,,,,,,,,,,,,,,,Erroneous Non-Binary Teachings,,,,,,2024-11-05T16:47:29.71482+00:00
cE89RLCvxEU,2024-11-05T17:07:22.620996+00:00,,,,,,,,,,,,,,,,,,Non-Binary Appropriation,,,,,,2024-11-05T17:07:22.620996+00:00
WwtzHMsRKpg,2024-11-08T20:57:44.62547+00:00,,,,,,,,,,,,,,,,,,"Fingers, Moons, & Expression of Worth",,,,,,2024-11-08T20:57:44.62547+00:00
ZBa5OKLO5dk,2024-11-10T10:23:29.571922+00:00,,,,,,,,,,,,,,,,,,Recent Activity,,,,,,2024-11-10T10:23:29.571922+00:00
wpJXiPJ1_cM,2024-11-11T21:07:08.740437+00:00,,,,,,,,,,,,,,,,,,The Vine,,,,,,2024-11-11T21:07:08.740437+00:00
CAh3HTXuh0E,2024-11-12T03:17:14.732521+00:00,,,,,,,,,,,,,,,,,,The Coming of the Lord,,,,,,2024-11-12T03:17:14.732521+00:00
yjsbhTGAbng,2024-11-12T03:22:04.747441+00:00,,,,,,,,,,,,,,,,,,That line from Jaco,,,,,,2024-11-12T03:22:04.747441+00:00
uK9Y64DEdYs,2024-11-13T16:27:28.830186+00:00,,,,,,,,,,,,,,,,,,"Religious Trauma, Non-Binary Teachings, & Why Jesus Never Wrote a Book",,,,,,2024-11-13T16:27:28.830186+00:00
ddu9Jdamykc,2024-11-13T16:58:24.562202+00:00,,,,,,,,,,,,,,,,,,"November 13, 2024",,,,,,2024-11-13T16:58:24.562202+00:00
qypJuK507EM,2024-11-14T14:18:29.71084+00:00,,,,,,,,,,,,,,,,,,Performing Artists: Come To Me & I Will Give You Rest,,,,,,2024-11-14T14:18:29.71084+00:00
A4O77Z5kwUQ,2024-11-14T18:37:23.703136+00:00,,,,,,,,,,,,,,,,,,TransRationalBlues: Cautionary Tales,,,,,,2024-11-20T11:45:25.689628+00:00
Xu9YhnPjN54,2024-11-14T18:39:35.199719+00:00,,,,,,,,,,,,,,,,,,TransRationalBlues: The Big Gay Scare,,,,,,2024-11-20T11:53:38.902363+00:00
WA5o21fVgsY,2024-11-14T18:48:59.41779+00:00,,,,,,,,,,,,,,,,,,TransRationalBlues: First Stone Ministries,,,,,,2024-11-20T12:04:53.402136+00:00
XvBLsM-zHkc,2024-11-14T20:29:55.835688+00:00,,,,,,,,,,,,,,,,,,TravelinTrav: Wildly Talented Writer,,,,,,2024-11-14T20:29:55.835688+00:00
RskUTIFrudo,2024-11-14T20:39:47.443045+00:00,,,,,,,,,,,,,,,,,,TravelinTrav:Endorsements,,,,,,2024-11-14T20:39:47.443045+00:00
MtovY1X5YaI,2024-11-14T21:35:36.162689+00:00,,,,,,,,,,,,,,,,,,My Chloroplasts,,,,,,2024-11-14T21:35:36.162689+00:00
tAGDum_6vlU,2024-11-15T23:44:39.658941+00:00,,,,,,,,,,,,,,,,,,How To Be Reborn,,,,,,2024-11-15T23:44:39.658941+00:00
l4E-BAbnD-w,2024-11-16T00:07:27.220877+00:00,,,,,,,,,,,,,,,,,,How To Be Reborn,,,,,,2024-11-16T00:07:27.220877+00:00
y50Hl0ZzBAw,2024-11-16T00:10:05.202646+00:00,,,,,,,,,,,,,,,,,,FarmChurch,,,,,,2024-11-16T00:10:05.202646+00:00
NMHOOt6Tdl0,2024-11-16T00:12:12.67023+00:00,,,,,,,,,,,,,,,,,,If God is With Us…,,,,,,2024-11-16T00:12:12.67023+00:00
qotrSCGffnA,2024-11-16T00:17:51.17878+00:00,,,,,,,,,,,,,,,,,,Jesus,,,,,,2024-11-16T00:17:51.17878+00:00
mKMROyoBa-E,2024-11-16T00:25:27.357782+00:00,,,,,,,,,,,,,,,,,,"The Life, The Truth, The Way",,,,,,2024-11-16T00:25:27.357782+00:00
UmgZO2tsvD4,2024-11-16T00:30:56.373794+00:00,,,,,,,,,,,,,,,,,,Farm Church Gitar Pickin’,,,,,,2024-11-16T00:30:56.373794+00:00
MfxeDLph97Q,2024-11-16T10:33:44.6738+00:00,,,,,,,,,,,,,,,,,,FarmChurch,,,,,,2024-11-16T10:33:44.6738+00:00
ChyEBJY5NgU,2024-11-16T10:40:28.803292+00:00,,,,,,,,,,,,,,,,,,Did You Ever Feel The Same?,,,,,,2024-11-16T10:40:28.803292+00:00
WGdzRnHJqnI,2024-11-16T10:42:10.176852+00:00,,,,,,,,,,,,,,,,,,Created in Christ Jesus,,,,,,2024-11-16T10:42:10.176852+00:00
wm7Hi4NMLIk,2024-11-16T10:43:59.34527+00:00,,,,,,,,,,,,,,,,,,Established Practice,,,,,,2024-11-16T10:43:59.34527+00:00
_Lnog2X8B_c,2024-11-16T10:45:56.939399+00:00,,,,,,,,,,,,,,,,,,"Thank You, Jesus",,,,,,2024-11-16T10:45:56.939399+00:00
mVN2YLPilmM,2024-11-16T10:48:27.835948+00:00,,,,,,,,,,,,,,,,,,Standing Up With Jesus,,,,,,2024-11-16T10:48:27.835948+00:00
XMG8KdUhAPk,2024-11-16T10:50:02.048612+00:00,,,,,,,,,,,,,,,,,,Jesus Farm Church,,,,,,2024-11-16T10:50:02.048612+00:00
s-wQcv4WySY,2024-11-16T10:57:35.714012+00:00,,,,,,,,,,,,,,,,,,New Song: Working With Others,,,,,,2024-11-16T10:57:35.714012+00:00
i-RT-ZgWCRI,2024-11-16T15:05:58.545728+00:00,,,,,,,,,,,,,,,,,,Crushing the Patriarchal Penis & Truck Nuts,,,,,,2024-11-16T15:07:27.183895+00:00
8rJ2OCSEKIc,2024-11-16T15:06:45.391765+00:00,,,,,,,,,,,,,,,,,,Crushing the Patriarchal Penis & Truck Nuts,,,,,,2024-11-16T15:07:03.76847+00:00
 -yqnmgiHvbQ,2024-11-18T00:41:46.815365+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-11-18T00:41:46.815365+00:00
KVlCDaYNb2c,2024-11-19T13:51:34.455378+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-11-19T13:51:34.455378+00:00
eTH6xBDpalg,2024-11-22T11:13:27.152999+00:00,,,,,,,,,,,,,,,,,,Religious Trauma & The Son of God,,,,,,2024-11-22T11:13:27.152999+00:00
A4Aeq1iG7jc,2024-11-23T14:13:42.125121+00:00,,,,,,,,,,,,,,,,,,Miracle of Love,,,,,,2024-11-23T14:13:42.125121+00:00
oLqSMGig9cI,2024-11-24T03:42:31.347498+00:00,,,,,,,,,,,,,,,,,,NameCalling,,,,,,2024-11-24T03:42:31.347498+00:00
y6mptrBmseo,2024-11-25T11:58:23.061692+00:00,,,,,,,,,,,,,,,,,,TravelinTrav Guitar,,,,,,2024-11-25T11:58:23.061692+00:00
DSvRtnn7Q70,2024-11-25T12:01:21.672237+00:00,,,,,,,,,,,,,,,,,,Raise a Banner For All The Nations,,,,,,2024-11-25T12:01:21.672237+00:00
0gRJmHoYIMU,2024-11-25T12:03:39.220027+00:00,,,,,,,,,,,,,,,,,,Pass Through The Gates Prepare the Way for the People,,,,,,2024-11-25T12:03:39.220027+00:00
JHjL7US6Mwk,2024-11-25T15:45:47.579184+00:00,#leftist,"
",#politicalcorrectness," 
",#marxism,"
",#feminism,"
",#darwinism,"
",#religioustrauma," 
",#conservatism," 
",#liberalism,"
",#jesus,Transcending Pluralism,,,,,,2024-12-12T16:30:46.831144+00:00
5fmpKF-RwL0,2024-12-01T07:38:52.56945+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-01T07:38:52.56945+00:00
FupBJL_A0gc,2024-12-01T14:43:08.637954+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-01T14:43:08.637954+00:00
B6gs_1CRPUA,2024-12-02T17:42:19.982061+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-02T17:42:19.982061+00:00
gegILcNXwQU,2024-12-02T22:00:35.582521+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-02T22:00:35.582521+00:00
2kUQXqMfXP8,2024-12-03T06:20:02.038705+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-03T06:20:02.038705+00:00
Z8r8bagqROs,2024-12-03T07:40:22.058393+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-03T07:40:22.058393+00:00
hfI-Rf_PdjQ,2024-12-03T10:03:43.964154+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-03T10:03:43.964154+00:00
hR09vOly6Mg,2024-12-03T15:36:46.323926+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-03T15:36:46.323926+00:00
FCnlBi-nUOI,2024-12-27T11:41:17.033564+00:00,,,,,,,,,,,,,,,,,,Travelin Trav is live!,,,,,,2024-12-27T11:41:17.033564+00:00
A11_IDQDCkI,2024-12-05T13:20:23.581923+00:00,,,,,,,,,,,,,,,,,,"Deaf, Blind, Dumb",,,,,,2024-12-05T13:20:23.581923+00:00
qgnPy2Ra5BM,2024-12-05T18:39:48.645848+00:00,,,,,,,,,,,,,,,,,,Hero Worship,,,,,,2024-12-05T18:39:48.645848+00:00
feDZM_Dq6mY,2024-12-06T04:53:17.356706+00:00,,,,,,,,,,,,,,,,,,Playing Bongos,,,,,,2024-12-06T04:53:17.356706+00:00
XY3JgdE5o1w,2024-12-06T18:31:16.277076+00:00,,,,,,,,,,,,,,,,,,The Light In You,,,,,,2024-12-06T18:31:16.277076+00:00
2TPDhsdvEYw,2024-12-06T18:45:15.501163+00:00,,,,,,,,,,,,,,,,,,FarmChurch,,,,,,2024-12-06T18:45:15.501163+00:00
qJXUSF2Jnms,2024-12-07T15:25:03.095806+00:00,,,,,,,,,,,,,,,,,,"Deeper Power: Surrender, Sacrament, & Pseudo Sacrifice",,,,,,2024-12-07T15:25:03.095806+00:00
