Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Title Text Segments 11,Video Title Text Segments 12,Video Title Text Segments 13,Video Title Text Segments 14,Video Text Update Timestamp
fnE7e3Sq38I,2024-12-28T11:26:28.758419+00:00,,,,,,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2024-12-28T11:26:28.758419+00:00
mc5srjnpXQU,2025-01-04T14:03:41.93883+00:00,,,,,,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2025-01-04T14:03:41.93883+00:00
H465GEzpmXo,2024-12-28T16:01:30.848684+00:00,,,,,,,,,,I Am,,,,,,,,,,,,,,2024-12-28T16:01:30.848684+00:00
8oKCfaWLJPY,2024-12-28T16:39:04.364934+00:00,,,,,,,,,,Musical LifeCircles and ReBirths,,,,,,,,,,,,,,2024-12-28T16:39:04.364934+00:00
jbTfkENFNmA,2024-12-28T17:24:33.932075+00:00,,,,,,,,,,Let Life Do the Livin’,,,,,,,,,,,,,,2024-12-28T17:24:33.932075+00:00
Fe-8yGVlkYg,2024-12-28T17:26:27.457197+00:00,,,,,,,,,,Let Life Do the Livin’,,,,,,,,,,,,,,2024-12-28T17:26:27.457197+00:00
Aa7K9DuNEK8,2024-12-30T19:18:31.210427+00:00,#guitar, ,#guitarlesson, ,#guitartutorial,  ,#guitarmusic, ,#guitarexercises,Guitar Etude in Thirds (ascending and descending),,,,,,,,,,,,,,2024-12-30T19:18:31.210427+00:00
gunKFPdl7Ow,2024-12-30T19:32:08.087458+00:00,#guitar, ,#guitarlesson, ,#guitartutorial,  ,#guitarmusic, ,#guitarexercises,Chord Maps ,#guitar, ,#guitarlessons,,,,,,,,,,,2024-12-30T19:32:08.087458+00:00
K1qxbqNZVEs,2024-12-30T21:11:11.166172+00:00,#guitarlessons, ,#fingerpickingstyle, ,#fingerpickingguitar,,,,,"Fingerpicking, Composition, & More",,,,,,,,,,,,,,2024-12-30T21:11:11.166172+00:00
MY99Vz631pc,2024-12-31T07:48:51.56995+00:00,,,,,,,,,,"Dear Grace, I’m Comin’ Home",,,,,,,,,,,,,,2024-12-31T07:48:51.56995+00:00
itS5ieElCw0,2024-12-31T07:52:38.316652+00:00,,,,,,,,,,"Dear Grace, I’m Comin’ Home",,,,,,,,,,,,,,2024-12-31T07:52:38.316652+00:00
r7W8JkQGhN0,2024-12-31T21:21:45.315218+00:00,,,,,,,,,,Ain’t Nobody Ever Gonna Love Me (The Way You Did),,,,,,,,,,,,,,2024-12-31T21:21:45.315218+00:00
KZXFmD1RLQw,2025-01-01T00:14:37.1051+00:00,,,,,,,,,,All The Things You Are ,#soverign, ,#mentalhealth, ,#codependency, ,#relationships, ,#jazzstandard,,,,,2025-01-01T00:14:37.1051+00:00
SVBg-YTg58c,2025-01-01T15:20:09.471313+00:00,,,,,,,,,,TravelinStringCamp,,,,,,,,,,,,,,2025-01-01T15:20:09.471313+00:00
BL-VGJIctxM,2025-01-01T18:26:50.267825+00:00,,,,,,,,,,TravelinStringCamp,,,,,,,,,,,,,,2025-01-01T18:26:50.267825+00:00
u0FTpqfmiTU,2025-01-01T18:48:24.847137+00:00,,,,,,,,,,TravelinStringCamp ,#jazz, ,#blues, ,#guitarlesson,,,,,,,,,2025-01-01T18:48:24.847137+00:00
o16MXM2wSto,2025-01-01T20:29:58.676369+00:00,,,,,,,,,,TravelinStringCamp,,,,,,,,,,,,,,2025-01-01T20:29:58.676369+00:00
aqWq8vHKLCo,2025-01-02T00:16:33.815401+00:00,,,,,,,,,,The Vineyard,,,,,,,,,,,,,,2025-01-02T00:16:33.815401+00:00
maqWyRsRHlo,2025-01-02T03:27:36.332275+00:00,,,,,,,,,,Giant Steps ,#transcendance, ,#nonduality, ,#guitar, ,#jazzstandard, ,#quantumphysics,,,,,2025-01-02T03:27:36.332275+00:00
g3OzkdU3M00,2025-01-02T03:57:18.828819+00:00,,,,,,,,,,Giant Steps ,#coltrane, ,#nonduality, ,#transcendence, ,#jazz, ,#singersongwriter, ,#quantum, ,#isaacnewton,2025-01-02T03:57:18.828819+00:00
SqZJpHWkzYE,2025-01-02T04:05:09.616709+00:00,,,,,,,,,,TravelinStringCamp,,,,,,,,,,,,,,2025-01-02T04:05:09.616709+00:00
uNSNDelWLpA,2025-01-02T05:39:29.175374+00:00,,,,,,,,,,The Light In You,,,,,,,,,,,,,,2025-01-02T05:39:29.175374+00:00
2E-I1wcAiMo,2025-01-02T05:40:44.771602+00:00,,,,,,,,,,Who Did I Think I Was?,,,,,,,,,,,,,,2025-01-02T05:40:44.771602+00:00
up-b6YOSItE,2025-01-02T05:43:36.43784+00:00,,,,,,,,,,I Know When You Fuckin’ With Me,,,,,,,,,,,,,,2025-01-02T05:43:36.43784+00:00
ADWHIMESwRc,2025-01-03T08:16:09.708493+00:00,,,,,,,,,,Rising Up,,,,,,,,,,,,,,2025-01-03T08:16:09.708493+00:00
rCbCzpXmbqk,2025-01-03T08:23:15.260701+00:00,,,,,,,,,,Snapcrackers ,#transcendence, ,#gaslighting, ,#nonduality, ,#christ, ,#recoveryjourney,,,,,2025-01-03T08:23:15.260701+00:00
ExrefmUZxIY,2025-01-03T16:15:25.357004+00:00,,,,,,,,,,Giving Thanks and Testimony,,,,,,,,,,,,,,2025-01-03T16:15:25.357004+00:00
MeMCe6G9jds,2025-01-03T17:51:39.40314+00:00,,,,,,,,,,The Great Composition ,#awakening, ,#transcendence, ,#composition, ,#work,,,,,,,2025-01-03T17:51:39.40314+00:00
ox_0iYu2dWM,2025-01-04T05:21:00.812376+00:00,,,,,,,,,,TravelinTrav & TransRationalBlues,,,,,,,,,,,,,,2025-01-04T05:21:00.812376+00:00
gwGrEwfiTis,2025-01-04T05:21:46.516195+00:00,,,,,,,,,,The Great Composition ,#awakening, ,#transcendence, ,#composition, ,#work,,,,,,,2025-01-04T05:21:46.516195+00:00
dZ50OuIhxK8,2025-01-05T11:57:18.3622+00:00,,,,,,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2025-01-05T11:57:18.3622+00:00
TNd1ipLr-vM,2025-01-04T16:10:53.077429+00:00,,,,,,,,,,1 minute guitar Tutorial For Beginners,,,,,,,,,,,,,,2025-01-04T16:10:53.077429+00:00
OBRCE7I_U6E,2025-01-07T12:26:14.115412+00:00,,,,,,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2025-01-07T12:26:14.115412+00:00
aaJu2POhIc4,2025-01-30T10:51:45.673499+00:00,#guitar, ,#ericjohnsonstrat,"
",#youaretheone,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2025-01-31T19:39:39.498187+00:00
YAUhfgj7qug,2025-01-09T21:56:59.662739+00:00,,,,,,,,,,I AM I AM,,,,,,,,,,,,,,2025-01-09T21:56:59.662739+00:00
