Video ID,Video Text Create Timestamp,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Text Update Timestamp
luu1ktqGY8Q,2025-07-23T21:36:22.281269+00:00,Cancel For Breakfast: Overcoming Fear-Based-Control-Systems,,,,,,,,,,2025-07-23T21:36:22.281269+00:00
2BAOws1gS4s,2025-07-23T22:14:58.852329+00:00,Camp stove cooking,,,,,,,,,,2025-07-23T22:14:58.852329+00:00
rYZLPV59aZs,2025-07-24T01:06:45.600112+00:00,Music Ministry,,,,,,,,,,2025-07-24T01:06:45.600112+00:00
NO1O-JDJrh0,2025-07-24T14:58:23.470264+00:00,Cancel For Breakfast,,,,,,,,,,2025-07-24T14:58:23.470264+00:00
DW2d7trp2PI,2025-07-24T17:10:34.89507+00:00,ChristNature,,,,,,,,,,2025-07-24T17:10:34.89507+00:00
IWXEXvcJUt0,2025-07-25T20:09:14.968317+00:00,Princess Bride  ,#asyouwish,  ,#romanticlove, ,#codependence, ,#enmeshment, ,#notlove,2025-07-25T20:09:14.968317+00:00
Gdt9jfwGRVs,2025-07-25T20:10:52.971225+00:00,"Cancel For Breakfast: Niche Audience, Nietzsche, & Dostoevsky",,,,,,,,,,2025-07-25T20:10:52.971225+00:00
MqViwykwqqs,2025-07-26T15:03:35.355667+00:00,Tigers & Strawberries,,,,,,,,,,2025-07-26T15:03:35.355667+00:00
tXmpUt3Rfk0,2025-07-26T15:25:13.499331+00:00,Tigers & Strawberries,,,,,,,,,,2025-07-26T15:25:13.499331+00:00
n00Tv6qKIII,2025-07-26T17:20:07.32683+00:00,What if  God was one of us?,,,,,,,,,,2025-07-26T17:20:07.32683+00:00
Noz2lHB-fJo,2025-07-26T20:06:41.823335+00:00,"Red Church, Blue Church, “i”church, “you”church",,,,,,,,,,2025-07-26T20:06:41.823335+00:00
5ndl_Kmnxi8,2025-07-26T22:24:57.723764+00:00,"I love you, Jesus",,,,,,,,,,2025-07-26T22:24:57.723764+00:00
6qp2m4CuzQE,2025-07-27T00:41:27.071987+00:00,Jesus or Yeshua?,,,,,,,,,,2025-07-27T00:41:27.071987+00:00
