Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
3V0LbnoeFrM,2020-10-03T23:13:14.302887+00:00,,,2023-12-02T04:52:18.436161+00:00
UVPxmNO9hcM,2020-10-13T12:56:08.955224+00:00,This is a series of ridiculous faces that I made when my face appeared to be much younger.,A series of ridiculous faces,2023-08-09T21:15:56.320898+00:00
h1RM_CJSOho,2020-06-13T04:43:25.669474+00:00,"There is a call beyond fundamentalism. There is a Universal Christ whose arms are wide open. There is a name that cannot be spoken. There is no demand made by this being. There is no call to obedience, only acknowledgment of what is. It is very simple; a seed falls into the ground and is then reborn. All form is transient. We are just passing through. The Christ is the One who showed us how to leave form behind (the parable of an ego death). The Universal Christ has no religion; there is nothing to believe, no dogma to follow. There is only death and rebirth (the seed which falls into the ground, dies, and then becomes a tree). There is only the acknowledgment of what-is; the Great I Am. The is-ness. The such-ness. The unobjectifiable mystery of the cosmos. Yeshua didn't come to start  new religion, he came to plant a tree.",,2023-08-10T16:08:53.102289+00:00
HMIZIXuLAkM,2021-12-02T18:05:46.095461+00:00,,No Sway No How (Live),2023-08-10T15:44:27.401115+00:00
ta1S21wGcDg,2020-05-27T04:37:22.866259+00:00,"5:58 - impermanence meditation (resisting change)
8:20 - Brother Can you Spare a Dime?
11:00 - musings about reaching out
12:07 - Stella by Starlight changes
12:43 - One Human to Another
16:04 - A DRAGON blessing",May I be of service? (Brother Can you Spare a Dime?),2023-08-09T21:25:04.371633+00:00
 -aHtYgIvSlQ,2020-05-24T00:47:12.986186+00:00,,No Sway No How,2023-08-11T02:56:54.243893+00:00
zMqADLXn7KY,2020-05-27T02:31:23.12588+00:00,,What We Do,2023-08-10T18:51:39.037409+00:00
ggP-Biqucjc,2020-06-04T11:34:41.239576+00:00,,,2020-06-04T22:02:53.048198+00:00
_VTa1czeyVw,2020-06-09T23:24:59.45134+00:00,,James and the Snake,2023-08-11T13:39:11.916135+00:00
O4pS9Nz8TEg,2020-06-10T21:08:23.130173+00:00,"I am immensely proud of my son, so grateful that I have shared so much of my life with him, and now he shares his life with me as he goes out into the world, discovering his great adventure. I love you, bud. I admire your strength, courage, and curiosity.",Naked As We Came (Iron and Wine Cover) Joseph Erwin,2023-08-09T20:45:31.4125+00:00
ZDTrF4mSaEY,2024-05-13T13:58:48.180055+00:00,,TravelinTrav & Eulalia visit the zoo,2024-05-13T13:58:48.180055+00:00
zqFFo6VPHc4,2020-06-24T02:07:04.230565+00:00,Having fun with my friend Ron at his backyard bar b q,,2023-08-10T01:42:29.144507+00:00
DoItpeIoy9M,2020-06-24T08:00:45.622093+00:00,Letting go of what we once knew takes a faith beyond superstition and a hope that fills us with a hunger that may never be satisfied.,,2023-08-10T20:06:42.799829+00:00
l4iTw-WlTx0,2020-06-24T08:41:35.804688+00:00,,Shreveport? how do you pronounce that?,2023-08-09T21:22:41.221689+00:00
VE_h_7dotBk,2020-07-22T15:20:13.795475+00:00,,,2020-07-22T15:46:03.593464+00:00
PR6YVwcnf08,2020-07-24T17:34:31.555059+00:00,Travis talks about his earliest music teachers.,Underwater Conversations #1,2023-08-10T07:40:46.689905+00:00
