Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
l0nctXifGKM,58000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"March 18, 2022",Public,Processed,2022-03-18T13:26:53+00:00,2022-03-20T02:42:29+00:00
 -BT-Rs5uP6c,58000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Juntos,Unlisted,Processed,2022-03-18T13:30:28+00:00,
_aG28HhC0eU,56000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,a song of healing,Public,Processed,2022-03-18T22:31:45+00:00,2022-03-18T22:36:05+00:00
iRh-Pe5Tqu4,42000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,I seen the light in you,Public,Processed,2022-03-19T13:43:42+00:00,2022-03-19T13:47:01+00:00
_Txxvjs3Zvw,56000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Goin' Together (you are not alone),Public,Processed,2022-03-20T02:24:29+00:00,2022-03-20T02:27:20+00:00
n7LmKFaMRI0,58000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,my brother,Public,Processed,2022-03-21T21:40:51+00:00,2022-03-21T21:48:22+00:00
JdKcrKKTvYQ,29000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"kisses for you, love",Public,Processed,2022-03-21T21:51:11+00:00,2022-03-21T21:54:25+00:00
7R-PXsF4ZXs,22000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,good teachers,Public,Processed,2022-03-21T22:12:00+00:00,2022-03-21T22:16:01+00:00
fFFhWJJO7wg,40000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,we get to choose love today,Public,Processed,2022-03-26T20:15:27+00:00,2022-03-26T20:17:56+00:00
5SDL1Q4LpWQ,30000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,May we choose love,Public,Processed,2022-03-26T21:13:47+00:00,2022-03-26T21:15:39+00:00
Pd0GKFMZKK0,36000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,all there ever was,Public,Processed,2022-04-15T00:21:57+00:00,2022-04-15T00:23:34+00:00
524JP9lB1NQ,15000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Repetition: the mother of learning,Public,Processed,2022-05-24T12:05:17+00:00,2022-05-24T12:05:33+00:00
OKPIoc5UOyg,51000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,oooh  oooh oooh oooh,Public,Processed,2022-05-24T12:12:13+00:00,2022-05-24T12:13:51+00:00
3RCaJrzgPkg,34000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Master and Commander,Public,Processed,2022-05-29T16:37:02+00:00,2022-05-29T16:41:20+00:00
DtqNXSys6tM,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,The light in you,Public,Processed,2022-05-31T11:29:34+00:00,2022-05-31T11:30:50+00:00
JblYoSssKzw,81000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,The light in you,Public,Processed,2022-05-31T12:07:36+00:00,2022-05-31T12:08:56+00:00
x010PmGVYzI,81000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Do Re Mi,Public,Processed,2022-06-02T10:54:07+00:00,2022-06-02T10:55:29+00:00
uXGAjQ6S3LM,15000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Boots on the ground,Public,Processed,2022-06-03T11:43:04+00:00,2022-06-03T11:43:37+00:00
XQmqCnvxJiY,182000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,BOG Trio,Public,Processed,2022-06-05T12:13:03+00:00,2023-05-30T02:07:17+00:00
2y3sKsibfcA,28000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Big rain,Public,Processed,2022-06-05T14:27:51+00:00,2022-06-05T14:30:45+00:00
6g8WWHoWNiU,42000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Deeper Love,Public,Processed,2022-06-08T12:24:29+00:00,2022-06-08T12:25:17+00:00
HfezjrEjQ88,12000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Deed of Trust,Public,Processed,2022-06-08T12:36:59+00:00,2022-06-08T12:37:19+00:00
2qKh4nfu0MY,141000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Cruise Control,Public,Processed,2022-06-15T23:21:06+00:00,2022-06-15T23:22:04+00:00
A-j4fc-zJ1s,25000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Milagros,Public,Processed,2022-06-20T18:00:35+00:00,2022-06-20T18:00:46+00:00
WLqTgIPiX-M,25000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Deep Archive,Public,Processed,2022-06-20T18:38:57+00:00,2022-07-11T18:04:07+00:00
ztq_UQ0QaD0,244000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Morning Workout,Public,Processed,2022-07-01T14:44:09+00:00,2022-07-01T14:47:17+00:00
WC-x5NYjp5o,600000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Can’t Stop Me Now —Triple Scoop Music,Public,Processed,2022-07-06T22:50:08+00:00,2022-07-06T22:59:19+00:00
Es-vC_OO3hg,151000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Every Open Door,Public,Processed,2022-07-09T22:17:46+00:00,2022-07-09T22:18:48+00:00
zNprBRML5Js,16000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Next right thing,Public,Processed,2022-07-13T23:20:51+00:00,2022-07-13T23:21:17+00:00
Wrb2bjAsNLc,374000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Nested Truth,Public,Processed,2022-07-17T04:26:53+00:00,2022-07-17T04:38:33+00:00
d_cgOEimp8Q,486000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"July 16, 2022",Public,Processed,2022-07-17T04:27:32+00:00,2022-07-17T12:58:12+00:00
u79cWhFTyno,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Kingdom Within,Public,Processed,2022-07-21T04:01:38+00:00,2022-07-21T04:01:59+00:00
ILH_yIYWbPw,288000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,One Teacher,Public,Processed,2022-07-25T03:26:06+00:00,2022-07-25T03:31:12+00:00
HMJ9aLGqt14,599000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,We been huntin’,Public,Processed,2022-08-05T22:28:57+00:00,2022-08-05T22:43:02+00:00
FrsjU-XUaE4,155000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Stronger back,Public,Processed,2022-08-15T12:52:27+00:00,2022-08-15T12:58:21+00:00
C9D4XAYb9nA,25000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Stronger back,Public,Processed,2022-08-16T00:46:46+00:00,2022-08-16T00:50:59+00:00
cwosMFLqW58,261000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Self-righteousness,Public,Processed,2022-08-18T19:35:24+00:00,2022-08-18T19:39:10+00:00
cHdRaXA4IAU,228000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"August 25, 2022",Public,Processed,2022-08-25T23:04:17+00:00,2022-08-25T23:05:47+00:00
2fE3Kfkk4bw,17000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Love Deep,Public,Processed,2022-09-02T13:15:03+00:00,2022-09-02T13:15:13+00:00
cq7M2tArFfE,20000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,I love because I was loved first,Public,Processed,2022-09-09T12:28:53+00:00,2022-09-09T12:29:02+00:00
