Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
3oiAcn4vHro,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Musical Family,Public,Processed,2023-05-05T11:00:53+00:00,2023-05-05T11:01:36+00:00
U0enyDWoxu8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Forgiving All of This,Public,Processed,2023-05-05T11:18:07+00:00,2023-05-05T11:18:49+00:00
zICuwfJ6LXY,304000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Hope Night,Public,Processed,2023-05-05T22:38:56+00:00,2023-05-05T22:41:27+00:00
0brDU-e-4so,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Choosing Therapy #healing #transparency #pain #help #hope,Public,Processed,2023-05-05T22:51:30+00:00,2023-05-05T22:52:02+00:00
Ip8YyF9ckCg,54000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Chasing your dreams,Public,Processed,2023-05-06T12:24:16+00:00,2023-05-06T12:25:52+00:00
1Tj0ESEE4Ms,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Answering the Call,Public,Processed,2023-05-06T12:32:36+00:00,2023-05-06T12:34:11+00:00
zLTBiv09F2U,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Getting over your self,Public,Processed,2023-05-06T12:39:08+00:00,2023-05-06T12:40:04+00:00
PGPwxpNShCY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Celebration of Life,Public,Processed,2023-05-07T12:18:50+00:00,2023-05-07T12:21:13+00:00
anPlwI5fUnA,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Celebration of Life,Public,Processed,2023-05-07T12:25:48+00:00,2023-05-07T12:28:03+00:00
xyDMXuE19ng,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,BleuMondaze- Hoimaha Coin,Public,Processed,2023-05-08T15:15:58+00:00,2023-05-08T15:17:39+00:00
c-Ft3BkjXk8,981000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,BleuMondaze - Oklahoma Blues Hall of Fame - Hoimaha Coin - Selby Minner,Public,Processed,2023-05-08T15:17:51+00:00,2023-05-08T16:10:37+00:00
4mhTIm9zOIY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Sharpening the Message,Public,Processed,2023-05-09T14:34:58+00:00,2023-05-09T14:36:00+00:00
_xZdJqQUg7o,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,This Land Is Your Land,Public,Processed,2023-05-09T18:21:49+00:00,2023-05-09T18:22:56+00:00
80Nz89aoP7o,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,The one we call Jesus,Public,Processed,2023-05-09T18:50:58+00:00,2023-05-09T18:52:15+00:00
kDMZSwpXmXE,1252000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Jam Sessions: D.C. & Selby Minner, Oklahoma Blues Hall of Fame, Rentiesville,",Public,Processed,2023-05-10T18:55:18+00:00,2023-05-10T19:08:11+00:00
53fG8dUwIz8,776000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Jam Sessions: Part 2 of 2, interview Selby Minner",Public,Processed,2023-05-11T00:05:50+00:00,2023-05-11T00:13:00+00:00
wUbEb-ABBBc,475000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Our Common Work,Public,Processed,2023-05-11T01:23:13+00:00,2023-05-11T01:27:00+00:00
b5iZTAxU-ck,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Blues History,Public,Processed,2023-05-11T18:30:15+00:00,2023-05-11T18:32:03+00:00
VTinxeUNwGc,49000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,The Hungry Artist: elevate humanity,Public,Processed,2023-05-11T22:15:27+00:00,2023-05-11T22:17:23+00:00
ifkKP6fU_LA,252000,Education,"Room to Grow:
A hermit crab has a little shell. If things go well for that little crab, he’s going to eventually need a bigger shell. The hermit crab is not his shell. All form is like this.

Forms can hold us. Forms can protect us. We can grow spiritually and intellectually in the security of our shells. Shells have many shapes: Musical genres, musical instruments, language, religion, yoga, science, romantic relationships, friendships, tribes, jobs, our physical bodies, etc.

All forms points to the formless. Some have have described form as a finger which points to the moon. The purpose of the finger is to direct us to the moon, not to draw attention to itself. Forms provide a context from which we can get some understanding of the sacred-nature-of-Being.

Form is not the sacred-nature-of-Being. Yet we use the form to have that sacred-depth-encounter.

When what we have to offer in a particular community is no longer welcome, it is time for us to move on with love and forgiveness in our hearts.

It is not a personal rejection when we no longer fit in the shell. In fact, it is a sign that we are doing well, that we are growing, and that it is time for a new shell.",UCUQkPM6zQzIs0B6HiSlXbwg,,A Change is Gonna Come: Outgrowing Our Shells,Public,Processed,2023-05-14T15:35:52+00:00,2023-05-14T15:38:13+00:00
KIe4YpejkDE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Andy Dufresne #mentalhealth #freedom,Public,Processed,2023-05-15T19:21:16+00:00,2023-05-15T19:21:49+00:00
w8EHp-wQzBY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Change is Gonna Come,Public,Processed,2023-05-15T19:24:58+00:00,2023-05-15T19:25:27+00:00
1ayk73VvJ0k,460000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Give It Back,Public,Processed,2023-05-15T20:19:26+00:00,2023-05-15T20:23:06+00:00
