Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
RRhe6NGsI0A,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Christ Testimony,Public,Processed,2024-10-16T18:31:06+00:00,2024-10-16T18:34:34+00:00
WYRpX6IuN3A,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,You Are Welcome,Public,Processed,2024-10-16T18:32:54+00:00,2024-10-16T19:29:00+00:00
_uDOnitfpLM,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Come One Come All,Public,Processed,2024-10-16T18:34:11+00:00,2024-10-16T20:30:04+00:00
GUOfPWI1cic,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Come One Come All,Public,Processed,2024-10-16T18:35:58+00:00,2024-10-16T21:30:02+00:00
4HcQPdpxLTY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Center of Our Love,Public,Processed,2024-10-16T18:37:22+00:00,2024-10-16T23:30:00+00:00
ozh_025fKUE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TravelinTrav,Public,Processed,2024-10-17T17:33:57+00:00,2024-10-17T17:38:58+00:00
p6_e62wqWrE,977000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Slow Moving River on the Banks of October,Public,Processed,2024-10-17T17:36:49+00:00,2024-11-05T07:00:34+00:00
-75yDRAWofw,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Pray For The Children,Public,Processed,2024-10-17T17:37:08+00:00,2024-10-17T18:30:00+00:00
ZnoSy3C7730,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TravelinTrav,Public,Processed,2024-10-17T17:45:19+00:00,2024-10-18T02:59:13+00:00
M4y6yuCtOE8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Everything or Nothing,Public,Processed,2024-10-17T17:47:02+00:00,2024-10-17T20:30:01+00:00
Y29l2tDkSZI,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,A Prayer,Public,Processed,2024-10-17T17:48:16+00:00,2024-10-17T21:30:03+00:00
VutXfqKaTiY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Being Re-Membered in Christ,Public,Processed,2024-10-17T17:51:33+00:00,2024-10-17T22:30:04+00:00
ckn_Vjswb0s,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Everything or Nothing,Public,Processed,2024-10-17T17:53:15+00:00,2024-10-17T23:30:08+00:00
5lcghqq4BiM,173000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Forgiveness,Public,Processed,2024-10-17T20:30:05+00:00,2024-11-06T13:00:07+00:00
7MXX_7r8Yik,448000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TravelinTrav,Public,Processed,2024-10-18T18:49:44+00:00,2024-11-07T12:00:09+00:00
MkWt5QxpU3M,223000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"Learning From Everybody, Receptive Mind, Beginner’s Mind",Public,Processed,2024-10-18T19:16:28+00:00,2024-11-08T12:00:28+00:00
MleqAUK9ZLc,914000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,The WeatherMan,Public,Processed,2024-10-19T21:28:45+00:00,2024-11-09T19:00:16+00:00
