Video ID,Approx Duration (ms),Video Category,Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
luu1ktqGY8Q,408000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Cancel For Breakfast: Overcoming Fear-Based-Control-Systems,Public,Processed,2025-07-23T21:36:20+00:00,2025-07-24T01:39:13+00:00
2BAOws1gS4s,10000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Camp stove cooking,Public,Processed,2025-07-23T22:14:57+00:00,2025-07-24T01:39:47+00:00
rYZLPV59aZs,49000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Music Ministry,Public,Processed,2025-07-24T01:06:44+00:00,2025-07-24T01:38:59+00:00
NO1O-JDJrh0,258000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Cancel For Breakfast,Public,Processed,2025-07-24T14:58:21+00:00,2025-07-24T14:59:59+00:00
DW2d7trp2PI,54000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,ChristNature,Public,Processed,2025-07-24T17:10:33+00:00,2025-07-24T17:11:13+00:00
IWXEXvcJUt0,141000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Princess Bride  #asyouwish  #romanticlove #codependence #enmeshment #notlove,Public,Processed,2025-07-25T20:09:13+00:00,2025-07-25T20:09:46+00:00
Gdt9jfwGRVs,436000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,"Cancel For Breakfast: Niche Audience, Nietzsche, & Dostoevsky",Public,Processed,2025-07-25T20:10:51+00:00,2025-07-25T20:12:12+00:00
MqViwykwqqs,62000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Tigers & Strawberries,Public,Processed,2025-07-26T15:03:33+00:00,2025-07-26T15:04:23+00:00
tXmpUt3Rfk0,62000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Tigers & Strawberries,Public,Processed,2025-07-26T15:25:12+00:00,2025-07-26T15:26:01+00:00
n00Tv6qKIII,171000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,What if  God was one of us?,Public,Processed,2025-07-26T17:20:06+00:00,2025-07-26T17:22:08+00:00
Noz2lHB-fJo,694000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,"Red Church, Blue Church, “i”church, “you”church",Public,Processed,2025-07-26T20:06:40+00:00,2025-07-26T20:11:01+00:00
5ndl_Kmnxi8,165000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,"I love you, Jesus",Public,Processed,2025-07-26T22:24:56+00:00,2025-07-26T22:25:38+00:00
6qp2m4CuzQE,178000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Jesus or Yeshua?,Public,Processed,2025-07-27T00:41:25+00:00,2025-07-27T00:43:04+00:00
skbcKtfsdqw,282000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,"Blackfish, Great Intelligence, & Every Open Door",Public,Processed,2025-07-27T05:58:49+00:00,2025-07-27T06:02:04+00:00
55PcVY0vyTQ,223000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Executive Order: Part 1,Public,Processed,2025-07-27T14:13:05+00:00,2025-07-27T14:15:59+00:00
x2UH7TFVgcw,181000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Executive Order: Part 2,Public,Processed,2025-07-27T15:16:43+00:00,2025-07-27T15:18:43+00:00
bRy9uAvg2uU,116000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Where Do We Go When the Rivers Rise?,Public,Processed,2025-07-27T15:40:32+00:00,2025-07-27T15:41:53+00:00
BkkeHYoaZgQ,335000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Dying to self,Public,Processed,2025-07-27T23:49:11+00:00,2025-07-27T23:50:36+00:00
fKFMUqa2ZN4,609000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav’s TravelinStringCamp,Public,Processed,2025-07-28T03:04:05+00:00,2025-07-28T03:05:08+00:00
cz4Va5w2fAU,316000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav TransRationalBlues,Public,Processed,2025-07-28T04:31:51+00:00,2025-07-28T04:38:15+00:00
4IGXm4melq0,122000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Psalm 116,Public,Processed,2025-07-28T13:19:26+00:00,2025-07-28T13:20:29+00:00
QpsiPY7w0D8,50000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Psalm 118,Public,Processed,2025-07-29T04:22:37+00:00,2025-07-29T04:23:07+00:00
9LIsono9T_4,80000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Psalm 118,Public,Processed,2025-07-29T04:43:56+00:00,2025-07-29T04:44:57+00:00
LOuMFzK_MwQ,49000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Psalm 118,Public,Processed,2025-07-29T05:00:42+00:00,2025-07-29T05:01:04+00:00
tCF-MMj36-k,710000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,"Experience, Strength, & Hope",Public,Processed,2025-08-03T06:34:23+00:00,2025-08-03T06:37:17+00:00
KvU1Epoj6UM,317000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Christian Zionism & Genocide,Public,Processed,2025-08-03T07:22:14+00:00,2025-08-03T07:22:54+00:00
OO2V3d70Rng,155000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,TransRational Blues,Public,Processed,2025-08-03T14:35:50+00:00,2025-08-03T14:37:32+00:00
ELGJWcmEaKY,222000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Luke Erwinsky: Cast your nets on the other side,Public,Processed,2025-08-04T02:35:23+00:00,2025-08-04T02:39:21+00:00
n6ImMD7ettw,14000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Bootless and Burned,Public,Processed,2025-08-05T21:31:14+00:00,2025-08-05T21:31:38+00:00
qf-pZGDkCrI,38000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Musical Brothers,Public,Processed,2025-08-05T22:13:06+00:00,2025-08-05T22:13:26+00:00
kcciL8Sh13Y,139000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Pronoun Police? Non-Binary Teachings?,Public,Processed,2025-08-05T22:46:31+00:00,2025-08-05T22:47:53+00:00
g8A_PFG0EtE,11000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Ain’t Nobody Says It!,Public,Processed,2025-08-05T23:00:41+00:00,2025-08-05T23:01:10+00:00
60pXkGoGrjs,150000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Non-Binary Tough Love,Public,Processed,2025-08-05T23:49:11+00:00,2025-08-05T23:53:15+00:00
ath6fp1n-Ow,28000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Gitar in G,Public,Processed,2025-08-06T01:45:58+00:00,2025-08-06T01:47:11+00:00
JFbj7q_jRfM,661000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Creative Intelligence & Intelligent Design,Public,Processed,2025-08-07T10:50:58+00:00,2025-08-07T10:54:06+00:00
4IRy-bazlUE,871000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Vulnerability & Christhood,Public,Processed,2025-08-07T11:24:48+00:00,2025-08-07T11:26:18+00:00
8AanhL2XgLg,286000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Freedom is what we all fear,Public,Processed,2025-08-07T12:35:01+00:00,2025-08-07T12:36:29+00:00
ZtH4NQUYfRA,138000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Wetiko Spirit: I want more. I need more. I don’t have enough,Public,Processed,2025-08-08T03:10:21+00:00,2025-08-08T03:10:52+00:00
